,Topic,Count,Name,-1,0,1,2,3,4,5
0,-1.0,140.0,-1_urban_policy_risk_city,"('urban', 0.028617261306879145)","('ecosystem', 0.045907117256778096)","('flood', 0.10081795980296879)","('disaster', 0.08043217480286202)","('water', 0.1626147823415796)","('health', 0.17229467861439218)","('development', 0.04690360619553919)"
1,0.0,58.0,0_ecosystem_management_ecological_based,"('policy', 0.023241790197324644)","('management', 0.033272006602057286)","('risk', 0.06918136592290713)","('risk', 0.06558491395099614)","('resource', 0.04056482715987979)","('public', 0.06252919867002986)","('city', 0.04366928824962005)"
2,1.0,40.0,1_flood_risk_urban_management,"('risk', 0.022992291314741085)","('ecological', 0.02739114736127458)","('urban', 0.031900695538255225)","('drr', 0.03511900460500676)","('impact', 0.03567835076024763)","('human', 0.04193209815067283)","('urban', 0.04244402741379737)"
3,2.0,37.0,2_disaster_risk_drr_city,"('city', 0.021948698030591383)","('based', 0.0254905155888581)","('management', 0.0267834937535178)","('city', 0.034621774599485726)","('management', 0.033140882998486235)","('disease', 0.03896743979186643)","('governance', 0.0335474562015526)"
4,3.0,22.0,3_water_resource_impact_management,"('impact', 0.020798524506468737)","('conservation', 0.024708011766449114)","('responsibility', 0.026299323794567047)","('resilience', 0.03408810636796089)","('energy', 0.0328857406334726)","('impact', 0.02957301075693949)","('african', 0.029509176971848638)"
5,4.0,21.0,4_health_public_human_disease,"('resilience', 0.02022525226512398)","('area', 0.02353661173235033)","('flooding', 0.023928462663891092)","('development', 0.030774619339468606)","('sector', 0.0319094555319337)","('intervention', 0.02868866286361107)","('government', 0.028024910452830253)"
6,5.0,20.0,5_development_city_urban_governance,"('approach', 0.020132748754162683)","('approach', 0.0217280475690945)","('governance', 0.023095447197334897)","('plan', 0.03031663771964165)","('scale', 0.029729762691486736)","('mental', 0.02864268225870183)","('policy', 0.02792445295174701)"
7,,,,"('social', 0.01857317596273064)","('planning', 0.02169500362201813)","('planning', 0.02087221116343066)","('policy', 0.030062423598456893)","('policy', 0.028647278968588805)","('city', 0.02723336357508181)","('settlement', 0.027540376246778502)"
8,,,,"('area', 0.018550151560764925)","('service', 0.021629197105432173)","('decision', 0.0200932567284862)","('local', 0.0296423313835099)","('system', 0.027776157157950267)","('population', 0.026256460354946685)","('informal', 0.026922255641625124)"
9,,,,"('challenge', 0.01794312239821913)","('urban', 0.021170170678564127)","('perception', 0.019668404278076777)","('cca', 0.029118102883353893)","('supply', 0.026589018724997023)","('effect', 0.02592060691837433)","('south', 0.026922255641625124)"
