,Topic,Count,Name,-1,0,1
0,-1.0,2.0,-1_lct_destination_catalonia_law,"('lct', 0.22227720734089457)","('policy', 0.028576592479506023)","('agreement', 0.18300406156379712)"
1,0.0,183.0,0_policy_risk_development_strategy,"('destination', 0.1422279040948502)","('risk', 0.023973586028174194)","('paris', 0.15424019237041117)"
2,1.0,15.0,1_agreement_paris_global_justice,"('catalonia', 0.12190681049190866)","('development', 0.023305061394856722)","('global', 0.07494302811429374)"
3,,,,"('law', 0.10037649135283805)","('strategy', 0.023043113494354117)","('justice', 0.059807068320160195)"
4,,,,"('glacier', 0.08547156167461784)","('new', 0.022126344475727096)","('international', 0.05877547144198394)"
5,,,,"('unconstitutional', 0.08547156167461784)","('local', 0.021403145320382927)","('party', 0.04901369470233458)"
6,,,,"('motivation', 0.07598038925190449)","('approach', 0.02077042741959901)","('litigation', 0.046462313837907915)"
7,,,,"('2019', 0.07249634165085854)","('in', 0.020398613489429927)","('policy', 0.03964548529298438)"
8,,,,"('promoting', 0.06989475767573063)","('management', 0.020289020309378555)","('goal', 0.03806998392643533)"
9,,,,"('suggest', 0.06460935549956177)","('city', 0.019824248523190452)","('country', 0.03806998392643533)"
