,Topic,Count,Name,-1,0,1,2,3,4,5,6
0,-1.0,263.0,-1_farmer_crop_agricultural_impact,"('farmer', 0.03293587167961644)","('farmer', 0.06734825257967544)","('household', 0.05277874899573324)","('food', 0.10399962327833555)","('water', 0.12520097129367178)","('yield', 0.09392179875637369)","('community', 0.04025374908043666)","('rice', 0.16169594459040768)"
1,0.0,109.0,0_farmer_risk_strategy_perception,"('crop', 0.0268137261380317)","('risk', 0.032708552047370235)","('livelihood', 0.04866551332071004)","('security', 0.05004747916479791)","('irrigation', 0.07297825096725503)","('maize', 0.07223456792107323)","('forest', 0.03932982220915991)","('yield', 0.07977763229150961)"
2,1.0,74.0,1_household_livelihood_vulnerability_woman,"('agricultural', 0.02567500935382841)","('strategy', 0.03167259022938205)","('vulnerability', 0.04609201561028513)","('system', 0.03877816448553251)","('drought', 0.05791610875475591)","('crop', 0.04155582171443367)","('knowledge', 0.03740188190792712)","('grain', 0.045572389412220825)"
3,2.0,49.0,2_food_security_system_agricultural,"('impact', 0.02523167348227921)","('perception', 0.029272325313357935)","('woman', 0.03900580351823888)","('agricultural', 0.0292975891415188)","('management', 0.02689618092616592)","('grain', 0.035419267966931366)","('local', 0.033979186037126526)","('crop', 0.03880743308149341)"
4,3.0,48.0,3_water_irrigation_drought_management,"('production', 0.018309450837631698)","('household', 0.028887820328203452)","('rural', 0.028659989088753)","('agriculture', 0.029015609458957634)","('groundwater', 0.026788115236490426)","('production', 0.031051210372535117)","('social', 0.03265383911305467)","('model', 0.03749998459559866)"
5,4.0,34.0,4_yield_maize_crop_grain,"('strategy', 0.018186243311579236)","('farm', 0.02840983780507484)","('drought', 0.025946246144906416)","('production', 0.028785664608277736)","('agricultural', 0.026475372379749874)","('scenario', 0.02675003358029369)","('resource', 0.027880357774052532)","('temperature', 0.032734184308643534)"
6,5.0,28.0,5_community_forest_knowledge_local,"('food', 0.017617620300902775)","('smallholder', 0.023029874619165412)","('strategy', 0.024198933805565866)","('impact', 0.028105624647949454)","('agriculture', 0.022024965411195446)","('impact', 0.02617491275592438)","('land', 0.027393566689152878)","('wheat', 0.03164801941871114)"
7,6.0,22.0,6_rice_yield_grain_crop,"('area', 0.01648442926062676)","('practice', 0.02250837644205849)","('community', 0.02298351768789937)","('mitigation', 0.021763230942192124)","('crop', 0.02167615193469912)","('future', 0.025259571612438202)","('management', 0.027240562733443028)","('season', 0.03021838013828478)"
8,,,,"('region', 0.016441969869597006)","('factor', 0.02115534994086125)","('capital', 0.02280587323947614)","('policy', 0.01877290353244305)","('use', 0.021469786985331318)","('cropping', 0.02431461784229818)","('farmer', 0.02568032638511454)","('climatic', 0.02598629177940318)"
9,,,,"('agriculture', 0.015977187822798413)","('data', 0.020266246737894716)","('social', 0.02198056392116543)","('community', 0.018583356820217892)","('system', 0.021440641692876804)","('increase', 0.02386146512806017)","('natural', 0.023194709976813072)","('using', 0.025303617650681075)"
