,Topic,Count,Name,-1,0,1,2
0,-1.0,20.0,-1_snowmobiling_woodland_snow_tourist,"('snowmobiling', 0.04573547953900654)","('farmer', 0.03516224654438122)","('fishery', 0.13064963077763853)","('migration', 0.21969943136297773)"
1,0.0,578.0,0_farmer_impact_water_crop,"('woodland', 0.0410654388914621)","('impact', 0.025163091717669523)","('coastal', 0.11064664880496197)","('rural', 0.07152509736996404)"
2,1.0,13.0,1_fishery_coastal_small_fishing,"('snow', 0.0386933574668642)","('water', 0.021313110134392677)","('small', 0.06135424963034618)","('migrant', 0.057704408450982805)"
3,2.0,12.0,2_migration_rural_migrant_urban,"('tourist', 0.0386933574668642)","('crop', 0.020450596550339824)","('fishing', 0.05986795239268441)","('urban', 0.05203695861340341)"
4,,,,"('tourism', 0.03863898026559364)","('strategy', 0.020113912642480213)","('fish', 0.05526272528555484)","('alternative', 0.036962537313397825)"
5,,,,"('chain', 0.037131227969313355)","('result', 0.019620761993679438)","('community', 0.055058186723638755)","('relocation', 0.03572264677061649)"
6,,,,"('condition', 0.03701646937264855)","('policy', 0.018980158733033423)","('island', 0.05184270759251922)","('linear', 0.034580387174177885)"
7,,,,"('forest', 0.036747828801504276)","('agricultural', 0.018144010849656417)","('document', 0.050158681036487116)","('threshold', 0.031006392212826677)"
8,,,,"('restoration', 0.034706965848353574)","('household', 0.017981332654810157)","('stressor', 0.04864041929112326)","('mobility', 0.029640331863581042)"
9,,,,"('dry', 0.032924740073079134)","('level', 0.016784969227666383)","('impact', 0.04536113709567273)","('climatic', 0.029083034311970814)"
