,Topic,Count,Name,-1,0,1,2,3,4,5,6,7,8,9,10,11,12,13
0,-1,238,-1_policy_community_local_development,"('policy', 0.01946854925515513)","('policy', 0.045544930006996394)","('community', 0.03571178588764489)","('vulnerability', 0.08883654354644338)","('resilience', 0.0802571789470973)","('eba', 0.05876832738829168)","('coastal', 0.09680716979911748)","('risk', 0.07015167682786332)","('livelihood', 0.07252929633114574)","('stakeholder', 0.04825533595943865)","('urban', 0.08304457935815633)","('health', 0.14254259918598766)","('justice', 0.16820481678992227)","('gender', 0.13317390108468727)","('management', 0.06768213280187711)"
1,0,119,0_policy_governance_local_mainstreaming,"('community', 0.016938897205069782)","('governance', 0.025881720494272138)","('knowledge', 0.023347551907011394)","('sids', 0.03680976898833365)","('drr', 0.04763932945654118)","('water', 0.042883927076340894)","('management', 0.02819984666003424)","('perception', 0.056519688145891735)","('household', 0.03643082188061479)","('planning', 0.04475338193499638)","('nb', 0.04649808496032209)","('heat', 0.03481382605175492)","('carbon', 0.03560756011419353)","('woman', 0.1225471795691185)","('agent', 0.05958829435992697)"
2,1,59,1_community_knowledge_local_cultural,"('local', 0.015993616260140685)","('local', 0.02434350584502362)","('local', 0.02272681263730332)","('country', 0.027834634608662746)","('disaster', 0.045109679308438476)","('ecosystem', 0.03442822438974274)","('sediment', 0.0245126236454552)","('measure', 0.043823455515323434)","('vulnerability', 0.028072237092623457)","('process', 0.037527948216290886)","('ugs', 0.0356546814374837)","('public', 0.030653416686131977)","('allocation', 0.03333340169272067)","('cf', 0.06287331703479587)","('manager', 0.058636887697295054)"
3,2,36,2_vulnerability_sids_country_risk,"('development', 0.015129114312049673)","('mainstreaming', 0.022198549047159066)","('cultural', 0.02238043535541529)","('risk', 0.024943594398890177)","('community', 0.037911003268097314)","('benefit', 0.02768367395946363)","('legal', 0.021030731616508647)","('factor', 0.04286520372352092)","('poor', 0.02756388570505365)","('cost', 0.03747174748639654)","('uhi', 0.0356546814374837)","('related', 0.02537053159657643)","('racism', 0.030487709810635852)","('policy', 0.030470821870485866)","('forest', 0.041095132964799115)"
4,3,33,3_resilience_drr_disaster_community,"('environmental', 0.014543375958262864)","('city', 0.01984362762796365)","('social', 0.021437360774412804)","('approach', 0.023207968630176642)","('cca', 0.028167840314884014)","('basin', 0.025500012467808992)","('shoreline', 0.019500262842320943)","('individual', 0.04174262228491622)","('social', 0.026167678634922503)","('decision', 0.030945474903910804)","('building', 0.03308214614844346)","('impact', 0.02294349932614695)","('approach', 0.02953813434280329)","('community', 0.026411918462512472)","('release', 0.0318252643665338)"
5,4,30,4_eba_water_ecosystem_benefit,"('risk', 0.014365340126217981)","('level', 0.019273586499682034)","('heritage', 0.02038687968648991)","('impact', 0.0229954100445644)","('capacity', 0.027619626435213238)","('based', 0.023334015391248585)","('risk', 0.019490518049757443)","('decision', 0.03948929477549918)","('embankment', 0.025006023514657912)","('impact', 0.030032685700978314)","('city', 0.0311265536505712)","('state', 0.022109007211562337)","('social', 0.028727061238250456)","('conservation', 0.026256239120815292)","('scenario', 0.03133551449043946)"
6,5,27,5_coastal_management_sediment_legal,"('impact', 0.014264385113543138)","('national', 0.01817959548208343)","('people', 0.02000854966416995)","('assessment', 0.02213878338794472)","('risk', 0.026139979465624883)","('resource', 0.02240929177468054)","('sea', 0.018942222467218637)","('impact', 0.0371268507846069)","('housing', 0.023155826115729874)","('approach', 0.027784435709316522)","('area', 0.028813429355526603)","('level', 0.021237059357022598)","('environmental', 0.02754464377105659)","('social', 0.026144177077421827)","('land', 0.031247470401336904)"
7,6,21,6_risk_perception_measure_factor,"('approach', 0.013052589369766663)","('municipality', 0.01681384018619203)","('indigenous', 0.016569768360756236)","('capacity', 0.021200635455681585)","('development', 0.022909402217378)","('pe', 0.022259111135540324)","('strategy', 0.01875415933457983)","('behaviour', 0.030938282995745893)","('char', 0.02288357643575671)","('method', 0.02686073289607993)","('land', 0.0285278920893614)","('healthcare', 0.02107035687981528)","('equity', 0.0265253331001142)","('forest', 0.02524420267828368)","('model', 0.02955786989723802)"
8,7,19,7_livelihood_household_vulnerability_poor,"('planning', 0.013003766485832012)","('planning', 0.016770633330188214)","('society', 0.016469273051689253)","('vulnerable', 0.020007381634987307)","('local', 0.02287766671045199)","('project', 0.01956570106667182)","('protection', 0.01865242128336144)","('subsidy', 0.03078366271375257)","('capacity', 0.0222973660842526)","('scenario', 0.026271497566006045)","('planning', 0.026306279672903225)","('data', 0.020995249742706484)","('community', 0.02532763970457775)","('men', 0.023625081906555417)","('slm', 0.02791368148127111)"
9,8,18,8_stakeholder_planning_process_cost,"('urban', 0.012915639952456284)","('action', 0.015664053177223268)","('science', 0.015726784053485092)","('local', 0.018383656827482192)","('policy', 0.01864367385711503)","('hydropower', 0.018501418880062372)","('framework', 0.018630046268309476)","('loss', 0.026860049518062125)","('network', 0.02222900887946873)","('policy', 0.025135191433597832)","('type', 0.025687024551436753)","('national', 0.020712240664047275)","('ej', 0.025172455692247936)","('employment', 0.023625081906555417)","('biological', 0.02624402832471892)"
10,9,18,9_urban_nb_ugs_uhi,,,,,,,,,,,,,,,
11,10,15,10_health_heat_public_related,,,,,,,,,,,,,,,
12,11,11,11_justice_carbon_allocation_racism,,,,,,,,,,,,,,,
13,12,10,12_gender_woman_cf_policy,,,,,,,,,,,,,,,
14,13,10,13_management_agent_manager_forest,,,,,,,,,,,,,,,
