,Topic,Count,Name,-1,0,1
0,-1.0,97.0,-1_approach_policy_framework_action,"('approach', 0.03188815322544439)","('stakeholder', 0.03624708679570378)","('risk', 0.08747307473387377)"
1,0.0,41.0,0_stakeholder_need_approach_impact,"('policy', 0.03100314816067087)","('need', 0.03175456773037873)","('resilience', 0.08714031814200517)"
2,1.0,20.0,1_risk_resilience_disaster_community,"('framework', 0.026857321481885497)","('approach', 0.030210882083568414)","('disaster', 0.06189658769397584)"
3,,,,"('action', 0.023724592091449098)","('impact', 0.029029956455786713)","('community', 0.04510908933725392)"
4,,,,"('health', 0.023023302863793258)","('planning', 0.02848078358754498)","('hazard', 0.0435867540291911)"
5,,,,"('management', 0.022497458017753456)","('based', 0.027847778404269535)","('capacity', 0.041973031050612127)"
6,,,,"('system', 0.021863478499300638)","('project', 0.027671736196673718)","('impact', 0.03835150210672741)"
7,,,,"('future', 0.021082487616232232)","('policy', 0.02700912829092186)","('insurance', 0.0371839821554489)"
8,,,,"('risk', 0.020659057950268216)","('development', 0.02680970271868949)","('reduction', 0.033975972587919026)"
9,,,,"('social', 0.02055219768486647)","('eba', 0.026350745945620722)","('policy', 0.02880560700751987)"
