,Topic,Count,Name,-1,0,1,2,3
0,-1.0,61.0,-1_health_fire_human_energy,"('health', 0.03523665924841472)","('temperature', 0.04818861077608818)","('water', 0.040171406258310144)","('yield', 0.03217762085634381)","('green', 0.07056594406839907)"
1,0.0,90.0,0_temperature_extreme_increase_precipitation,"('fire', 0.03363506294214046)","('extreme', 0.045905870864432465)","('risk', 0.034528910324593445)","('carbon', 0.029990184473432432)","('city', 0.06560290799224719)"
2,1.0,65.0,1_water_risk_flood_impact,"('human', 0.0233740306725703)","('increase', 0.03978649974132862)","('flood', 0.03286869209298668)","('emission', 0.029671931674441744)","('construction', 0.062112882935722466)"
3,2.0,61.0,2_yield_carbon_emission_land,"('energy', 0.02110953948046189)","('precipitation', 0.036313607595533405)","('impact', 0.024773095395915424)","('land', 0.028904894289931166)","('urban', 0.06123135139975411)"
4,3.0,14.0,3_green_city_construction_urban,"('increase', 0.01997172271587384)","('change', 0.03255416593932127)","('resilience', 0.024181193078342)","('production', 0.026278390366014114)","('environmental', 0.042422164983807145)"
5,,,,"('impact', 0.018051377302119583)","('model', 0.03071896621755255)","('community', 0.0236010994890963)","('co2', 0.025359066888059927)","('roof', 0.0374879287868512)"
6,,,,"('risk', 0.01792538396517694)","('day', 0.02859294988168635)","('analysis', 0.01964305496851894)","('area', 0.0252543728598202)","('design', 0.033189597753376286)"
7,,,,"('level', 0.016163161164410904)","('future', 0.02852373974782378)","('development', 0.019214145223109703)","('rice', 0.02287309336708939)","('state', 0.029960701914069708)"
8,,,,"('data', 0.015977097495223504)","('trend', 0.028492114866864867)","('in', 0.018889695663975074)","('use', 0.022483652029172622)","('spend', 0.028585787816189444)"
9,,,,"('future', 0.015964450911750746)","('rainfall', 0.02591658698101961)","('year', 0.01776293428891564)","('system', 0.022340838628343563)","('challenge', 0.0277361239493837)"
