,Topic,Count,Name,-1,0,1
0,-1.0,65.0,-1_policy_local_knowledge_development,"('policy', 0.03929661078655949)","('vulnerability', 0.0814324422687274)","('policy', 0.1274341874008685)"
1,0.0,19.0,0_vulnerability_future_approach_scenario,"('local', 0.0290929496283108)","('future', 0.06012443948167316)","('issue', 0.05555985279417891)"
2,1.0,10.0,1_policy_issue_level_plan,"('knowledge', 0.02861226941140469)","('approach', 0.04930380713196727)","('level', 0.05410751103011147)"
3,,,,"('development', 0.028573432670662396)","('scenario', 0.036820197810780705)","('plan', 0.05401164067033857)"
4,,,,"('action', 0.02754898037573729)","('assessment', 0.03639448227156514)","('spatial', 0.04914908742592243)"
5,,,,"('impact', 0.026032718422520237)","('development', 0.03534165126774699)","('international', 0.04779851279640272)"
6,,,,"('risk', 0.025200068690269497)","('uncertainty', 0.03496719330146809)","('national', 0.046521883660914636)"
7,,,,"('sector', 0.024311139123040164)","('local', 0.033735212573758486)","('mainstreaming', 0.04455341646554174)"
8,,,,"('level', 0.024018187432665372)","('model', 0.03371439977369716)","('implementation', 0.04144151141071427)"
9,,,,"('capacity', 0.021605183024938232)","('impact', 0.03082894028005964)","('country', 0.03911613137518035)"
