,Topic,Count,Name,-1,0,1
0,-1.0,46.0,-1_policy_benefit_impact_mitigation,"('policy', 0.03155496828299193)","('environmental', 0.043884870644912)","('government', 0.06521504824803703)"
1,0.0,17.0,0_environmental_impact_management_framework,"('benefit', 0.025933069842161864)","('impact', 0.03316036302036104)","('local', 0.06251416549636979)"
2,1.0,14.0,1_government_local_community_policy,"('impact', 0.02370107221455287)","('management', 0.03292245265122098)","('community', 0.05979460704551382)"
3,,,,"('mitigation', 0.02317838369614932)","('framework', 0.03268389803690241)","('policy', 0.056185313253978686)"
4,,,,"('measure', 0.022902473665417908)","('policy', 0.03237579614616898)","('disaster', 0.04711681656812181)"
5,,,,"('development', 0.02174455024432999)","('based', 0.030321133830551263)","('risk', 0.04240909926148905)"
6,,,,"('approach', 0.02152278486071008)","('ecosystem', 0.029727684926803687)","('action', 0.04191725916948241)"
7,,,,"('adaptive', 0.021257411553512615)","('approach', 0.02953361300509709)","('infrastructure', 0.03390986166591948)"
8,,,,"('social', 0.0201201509109552)","('eba', 0.027747873461236926)","('resilience', 0.03344911508421173)"
9,,,,"('justice', 0.019923990445851063)","('resource', 0.027178921749503353)","('initiative', 0.033167658369776414)"
