,Topic,Count,Name,-1,0,1
0,-1.0,45.0,-1_planning_urban_future_impact,"('planning', 0.035179679383100466)","('policy', 0.04416085969490199)","('risk', 0.09208578812873626)"
1,0.0,30.0,0_policy_barrier_development_strategy,"('urban', 0.031704854543863965)","('barrier', 0.04045099635263329)","('resilience', 0.08813183015423258)"
2,1.0,13.0,1_risk_resilience_disaster_reduction,"('future', 0.028039335989817907)","('development', 0.028230800691003297)","('disaster', 0.08138645644511526)"
3,,,,"('impact', 0.027738271070773)","('strategy', 0.02763197443513046)","('reduction', 0.058359087115604814)"
4,,,,"('strategy', 0.023379534362910945)","('model', 0.02725763834419948)","('community', 0.049110726399158866)"
5,,,,"('resilience', 0.02262858955773587)","('water', 0.02688405446432949)","('concept', 0.03776387819667771)"
6,,,,"('city', 0.02255627003721186)","('national', 0.02637855359273659)","('approach', 0.03737807486604227)"
7,,,,"('risk', 0.022399390955658356)","('level', 0.0262986963683029)","('policy', 0.03638117912494094)"
8,,,,"('policy', 0.0216956301894161)","('governance', 0.026266328739887664)","('vulnerability', 0.03591458484445964)"
9,,,,"('approach', 0.02154711709070724)","('stakeholder', 0.026204943405680508)","('management', 0.03520682304758063)"
