,Topic,Count,Name,-1,0,1
0,-1.0,52.0,-1_community_policy_local_impact,"('community', 0.03677591357093731)","('policy', 0.07536391680386764)","('resilience', 0.08397071594900489)"
1,0.0,41.0,0_policy_local_plan_mainstreaming,"('policy', 0.029657573000426027)","('local', 0.03732327320925894)","('community', 0.0678184372174327)"
2,1.0,16.0,1_resilience_community_vulnerability_barrier,"('local', 0.028745036873074472)","('plan', 0.03272769960574749)","('vulnerability', 0.06103610312934532)"
3,,,,"('impact', 0.028134045569171835)","('mainstreaming', 0.03238150407679179)","('barrier', 0.05405622190822793)"
4,,,,"('capacity', 0.024628304027504867)","('community', 0.03226160987651288)","('south', 0.034327882606138165)"
5,,,,"('measure', 0.024019387090615654)","('development', 0.03150875088924363)","('strategy', 0.03325307526112949)"
6,,,,"('risk', 0.02401609969566655)","('planning', 0.02749242474752256)","('dynamic', 0.03282914942000429)"
7,,,,"('result', 0.023881991784247145)","('role', 0.02740715509684823)","('communication', 0.031004584984718017)"
8,,,,"('social', 0.023881991784247145)","('approach', 0.026045852106164332)","('assessment', 0.029867492293658548)"
9,,,,"('however', 0.023195590828982687)","('project', 0.025661476482006257)","('understanding', 0.029295908201233175)"
