,Topic,Count,Name,-1,0,1
0,-1.0,21.0,-1_health_policy_state_local,"('health', 0.10401697336889323)","('local', 0.04027066319724375)","('indigenous', 0.190586788936837)"
1,0.0,106.0,0_local_policy_process_environmental,"('policy', 0.05726777972316809)","('policy', 0.039882038710293756)","('people', 0.07977214840807417)"
2,1.0,14.0,1_indigenous_people_community_knowledge,"('state', 0.04352689248298211)","('process', 0.031453019410211724)","('community', 0.06733096010146096)"
3,,,,"('local', 0.03799982255447827)","('environmental', 0.028482913353134028)","('knowledge', 0.06377983555154507)"
4,,,,"('public', 0.03217205096568243)","('knowledge', 0.027322058411620456)","('land', 0.035304212777185026)"
5,,,,"('community', 0.030592566050156707)","('planning', 0.02680652305813864)","('resource', 0.03167602219870553)"
6,,,,"('transfer', 0.02887354683927181)","('level', 0.026130762174060934)","('access', 0.030736717576543133)"
7,,,,"('knowledge', 0.02847943415828941)","('approach', 0.02456762689314311)","('impact', 0.030544298387061596)"
8,,,,"('support', 0.027751266945254805)","('community', 0.023991358440279817)","('practice', 0.02904708326800786)"
9,,,,"('department', 0.026797276354292236)","('social', 0.02398144917616802)","('cultural', 0.028975614246416228)"
