,Topic,Count,Name,-1,0,1,2
0,-1.0,126.0,-1_urban_city_green_area,"('urban', 0.06530115368348094)","('green', 0.06793783534738032)","('urban', 0.06479916822511132)","('water', 0.10881228198135157)"
1,0.0,22.0,0_green_urban_based_city,"('city', 0.04337199986610123)","('urban', 0.0634904808738686)","('surface', 0.054756240898433436)","('urban', 0.054572170033370435)"
2,1.0,15.0,1_urban_surface_green_drainage,"('green', 0.039520177441071565)","('based', 0.048326339027106535)","('green', 0.053052195348257614)","('city', 0.04636593711306519)"
3,2.0,10.0,2_water_urban_city_system,"('area', 0.027539528880088992)","('city', 0.04278251120365293)","('drainage', 0.04817643106334543)","('system', 0.04502446854221041)"
4,,,,"('planning', 0.026636800696728136)","('nature', 0.041733281989291215)","('roof', 0.04221252675688902)","('public', 0.0433092355080916)"
5,,,,"('infrastructure', 0.025069930067508833)","('infrastructure', 0.040434534837645295)","('model', 0.04212531942658292)","('local', 0.041270965566270384)"
6,,,,"('benefit', 0.022854905932216753)","('space', 0.03893923781927677)","('land', 0.03998399796440743)","('program', 0.038484113610047326)"
7,,,,"('development', 0.021945824419537182)","('planning', 0.03818817179110944)","('scenario', 0.03776910288774281)","('management', 0.032266428724888496)"
8,,,,"('environmental', 0.021347636207332366)","('solution', 0.03666689229154615)","('flood', 0.03729763275940031)","('stormwater', 0.032148347892489)"
9,,,,"('policy', 0.020341774056879508)","('social', 0.035809479210100977)","('stormwater', 0.031103967084023486)","('suds', 0.03150637852763353)"
