,Topic,Count,Name,-1,0,1
0,-1.0,76.0,-1_policy_development_new_urban,"('policy', 0.040479432508455336)","('city', 0.07236988574275778)","('governance', 0.06340973691119854)"
1,0.0,22.0,0_city_urban_resilience_planning,"('development', 0.02590837067208114)","('urban', 0.0465560434076519)","('nature', 0.03890179617780815)"
2,1.0,14.0,1_governance_nature_technology_gender,"('new', 0.02408002126629017)","('resilience', 0.04403651130507556)","('technology', 0.03831378549189712)"
3,,,,"('urban', 0.02196177754465673)","('planning', 0.039565748951303284)","('gender', 0.03689243286481231)"
4,,,,"('analysis', 0.02027841637699004)","('capacity', 0.03843220878746866)","('based', 0.03661819352178662)"
5,,,,"('city', 0.019671865512295734)","('local', 0.035732506584938914)","('city', 0.03575749258312881)"
6,,,,"('social', 0.01946358257295826)","('temperature', 0.029607848848575542)","('solution', 0.033860129635290726)"
7,,,,"('based', 0.019358448468978374)","('plan', 0.029141742817420147)","('level', 0.030909309342198838)"
8,,,,"('in', 0.019289732153012846)","('smart', 0.028500371236968778)","('unfccc', 0.03014518924472376)"
9,,,,"('local', 0.018886291189247194)","('heat', 0.027759938265124313)","('in', 0.029646671126649527)"
