,Topic,Count,Name,-1,0,1
0,-1.0,11.0,-1_risk_measure_allocation_epc,"('risk', 0.07913252567194899)","('policy', 0.05044117205434133)","('model', 0.05738541975926222)"
1,0.0,42.0,0_policy_three_framework_development,"('measure', 0.06478202841272715)","('three', 0.03851279993980804)","('uncertainty', 0.05067266345650201)"
2,1.0,18.0,1_model_uncertainty_impact_variable,"('allocation', 0.057718517457553464)","('framework', 0.031600547403980585)","('impact', 0.047681955860811115)"
3,,,,"('epc', 0.050349702217030244)","('development', 0.02869282401748346)","('variable', 0.04000838261006055)"
4,,,,"('energy', 0.03941085492144623)","('stakeholder', 0.027977392850119475)","('reservoir', 0.03717807516493032)"
5,,,,"('analysis', 0.038069112405118344)","('governance', 0.026708034669391242)","('scenario', 0.03410219407670142)"
6,,,,"('benefit', 0.037154494979050094)","('risk', 0.025902332591477943)","('indicator', 0.03127640250771534)"
7,,,,"('development', 0.03708589664745798)","('process', 0.02501685269169671)","('decision', 0.031199819862298687)"
8,,,,"('support', 0.03607286401221563)","('environmental', 0.02468245893567333)","('regional', 0.03017255600262722)"
9,,,,"('impact', 0.03509719977795402)","('local', 0.02392682993530909)","('bias', 0.03010331239988209)"
