,title,wos,clean_abstract
0,Fukuoka: Adapting to climate change through urban green space and the built environment?,WOS:000488142900024,profile fukuoka city kyushu japan focus city local policy particular role urban greenspace planning facilitating action within fukuoka fukuoka humid subtropical city currently experiencing significant population economic growth it also made comparatively rigorous advance country context local government criticised focusing mitigation fukuoka hence may yield lesson rapidly urbanising subtropical asian city illustrate fukuoka long tradition science policy connection towards creation liveable urban environment creates favourable policy infrastructure particular mitigation heat risk evidenced consideration issue within city greenspace plan since 1990s extensive body underpinning applied local institution urban thermal environment particular fukuoka green terraced acros building come symbolise via built environment followed emergence green roof citizen private sector involvement smaller scale greening action caution challenge remain around connecting different section local government maintaining environmental imperative face ongoing development expansion pressure
1,The public health benefits of green infrastructure: the potential of economic framing for enhanced decision-making,WOS:000414813000014,city growing rapidly resulting changing land cover reduced level green infrastructure globally becoming critical agenda item city potential ecosystem based using green infrastructure approach appealing many city business case implementation made effectively there substantial body evidence show green infrastructure significantly beneficial human health wellbeing many application despite evidence linkage green infrastructure benefit improved health outcome remains adequately quantified there limited study international grey literature indicate potential substantial economic health value green infrastructure moreover study use different methodological framework making difficult systematically evaluate compare monetary estimate explicit lack peer reviewed study specifically evaluating economic health value green infrastructure project highlight need work undertaken addressing gap would assist accelerate policy development drive implementation green infrastructure ecosystem based outcome support sustainable urban development
2,Introducing nature-based solutions into urban policy - facts and gaps. Case study of Poznan,WOS:000470341600016,city often appreciate benefit green infrastructure gi enough to recognise extent green infrastructure nature based solution nb present urban policy conducted planning strategic programming document poznan city case aimed 1 diagnosing current position nb task direction planning strategic programming document 2 characteristic activity related nb according form human nature interaction 3 determining potential including nb local policy 4 identifying role nb facing 4 main challenge urban policy resilience health well social cohesion economic development potential result show significant number action focus gi change towards multifunctionality better quality many action towards supporting citizen using also despite urban pressure new green space still planned created role nb within gi urban resilience well recognised yet gained low priority far linkage gi wellbeing inhabitant well understood however possibility build strengthen social cohesion based gi rather marginally noticed least recognised influence nb economic development potential it area still need investigated bring evidence field conclude support large scale nature based solution implementation city crucial step bring local urban agenda an evaluation urban policy document based presented approach serve guideline identifying gap potential nb inclusion a result help better organisation urban policy harmonisation different sector nb
3,Displacement Induced by Climate Change Adaptation: The Case of 'Climate Buffer' Infrastructure,WOS:000690136400001,buffer infrastructure rise promising green strategy more often infrastructure building legitimized urgent technical intervention le attention paid distribution cost benefit among affected population however show intervention may directly indirectly result relocation even eviction household community thereby increasing vulnerability intending reduce long term vulnerability argue raise serious underappreciated ethical issue need explicitly addressed policy making illustrate conceptual argument help three example infrastructural buffer space river project netherlands diamer bhasha dam pakistan coastal protection plan jakarta indonesia
4,Environmental Performance Optimization Design of Marine Climate Adaptive Green Public Buildings,WOS:000550684000079,at present rapid development human society economy also brought serious environmental problem adaptive green public building reduce load building environment save resource provide healthy comfortable space human being making relationship human building natural environment harmonious become development trend future architecture first introduces relationship green public building external environment analyzes functional space design coastal green public building finally give performance optimization design strategy marine adaptive green public building
5,Green Urban (RE) Generation: A Research and Practice Methodology to Better Implement Green Urban Infrastructure Solutions,WOS:000738573800001,green urban infrastructure solution gui becoming popular globally recent reveals environmental benefit derived gui well contribution however urgent need gui order meet paris agreement translated easy implementation thereof proposes circular design methodology cdm combination practice contributes minimize current skepticism barrier implementing gui it includes community engagement process better understand sensitivity build consensus gui additionally gui implemented series pilot project specific applied comprehend environmental benefit derived gui argues gui represent significant opportunity respond risk well achieve urban benefit however order overcome existing barrier skepticism proposed cdm reach consensual urban solution drive uptake implementation gui contributing move pilot project common practice
6,Public Perceptions of Urban Green Spaces: Convergences and Divergences,WOS:000751872400130,in context rapid important understand public perception urban green space ugss green space enormous potential instrument mitigation development space requires benefit public support attempt extensive literature understand convergence divergence perception urban green space ugss city dweller around world identify gap existing additionally explores benefit associated urban green space including health e g physical mental social e g social network social relationship economic e g employment income generation environmental e g ecosystem service biodiversity seek identify extent urban resident found perceive role ugss play mitigation cultural exchange based study conducted different country past decade integrates environmental social cultural economic aspect urban greening provide insight similarity difference perception urban green space suggest approach building resilient urban community find justification encouraging use integrated multidisciplinary approach using innovative tool practical development ugss conducting greater number study newer urban area developing country considering diverse disadvantage well advantage ugss order support continued development expansion critical friendly infrastructure resident perception attitude toward ugss incorporated design space successful providing myriad benefit potential offer
7,Corporate environmental performance and stock market performance: Indian evidence on disaggregated measure of sustainability,WOS:000520244400001,address emerging need green investing belief firm better equipped mitigating adapting associated risk also perform better market construct superior performance based model linking environmental performance financial performance literature it aim validate firm better equipped adapting generate superior equivalent market return compared blue chip firm socially responsible firm general market portfolio it examines market value disaggregated measure sustainability environmental performance differently others result consistent theoretical work suggesting green investing reflected demand difference green nongreen stock it also establishes link alpha green investing result show green portfolio outperformed market 1 significance level 12 year period various subperiods result also indicate investor indian stock market value pure green stock stock screened based criterion corporate governance employee relation social factor along environmental factor
8,"Beyond the luxury effect: Individual and structural drivers lead to 'urban forest inequity' in public street trees in Melbourne, Australia",WOS:000725593300002,urban tree increasingly used help city adapt improve health wellbeing promote biodiversity yet benefit distributed unequally mirroring uneven distribution urban forest many city contrasting theory proposed explain observed pattern focus either economic wherewithal individual luxury effect outcome structural factor municipal decision making process here explore pattern across 10 municipal authority greater melbourne compare relative importance competing mechanism show individual structural process major determinant density diversity tree large australian city interestingly education level strongly related tree density household income negatively related tree density diversity municipality luxury effect able adequately explain pattern observed melbourne finding important implication planning management urban forest equitable distribution benefit provide context rapid expansion urban population across globe to counteract inequity local municipality must acknowledge deliberately overcome internal bias favour provision street tree advantaged section community
9,Urban ecological life in a metropolitan area-an insight from Satoyama conservation activities in the Greater Tokyo Area,WOS:000710601500001,urban resident need live ecologically sustainable way mitigate adapt to discus model urban ecological life focused satoyama landscape reviewed academic article existing case satoyama conservation urban resident greater tokyo area analyzed activity performed participant benefit participant targeted achieved ecosystem several finding obtained published literature first participant mainly elderly men aged 60 year older necessarily local people motivated mostly need conserve nature improve health people intellectual disability also enjoyed benefit satoyama woodland management second participant tended recognize benefit term health promotion social cohesion recreation resource utilization rather landscape biodiversity conservation third different direction satoyama conservation perspective nature human broader ecosystem beyond site necessarily considered satoyama conservation these finding show potential necessity attracting urban resident including various activity consist vegetation conservation also communal event based different preference there also need balancing environmental socio economic perspective targeted ecosystem explored collaboration expert ecology landscape planning make urban ecological life feasible
10,Green intellectual capital and green HRM enabling organizations go green: mediating role of green innovation,WOS:000783422000001,purpose aim investigate complex relationship green intellectual capital gic green human resource management ghrm green innovation gi improvement environmental performance ep organization design methodology approach data collected 456 food manufacturing firm pakistan used structural equation modeling smartpls hypothesis tested path analysis predictive relevance effect size variable finding finding show gic ghrm direct impact ep instead gi play mediating role make gic ghrm helpful improving organization ep also environmental strategy play significant role ep act moderator relationship gi ep originality value global risk index ranked pakistan fifth vulnerable industrial activity contributing significantly carbon emission therefore vital mitigate adapt improve organization ep finding show gic ghrm gi significantly enhance ep food manufacturing firm pakistan
11,Impacts of Zagreb's Urban Development on Dynamic Changes in Stream Landscapes from Mid-Twentieth Century,WOS:000801396300001,urban stream constitute valuable form multi functional blue green infrastructure bgi support urban development generate ecosystem social economic benefit in global city planning bgi enhancement contributes ecosystem restoration community health wellbeing improved quality life etc aim ass dynamic stream landscape zagreb well influence urban development blue green landscape related urban value analysis landscape feature planning conducted level stream system whole city zagreb level two stream sequence superimposing spatial data cartographic source by developing urban planning social ecological approach evaluation monitoring management quantitative qualitative trend stream landscape change identified indicator detecting area critical urbanization pressure established confirms trend negative change urban bgi evident present state interruption open stream reduction fragmentation disconnection blue green landscape well planned neglect plan stream closure reduction public green area stream landscape potential emphasized one greatest urban asset improving system bgi area needed prioritization urban planning measure directed towards increase multiple landscape value determined
