,title,wos,clean_abstract
0,Urban planning policy must do more to integrate climate change adaptation and mitigation actions,WOS:000606823100007,well designed urban planning policy mitigate greenhouse gas emission adapt anticipated impact however limited analysis extent urban planning policy document address mitigation there need rapidly reduce greenhouse gas emission limit warming 1 5 degree
1,Impact of passive climate adaptation measures and building orientation on the energy demand of a detached lightweight semi-portable building,WOS:000451924600007,building energy demand heating cooling changing due adoption measure building scale aim limiting heating cooling demand in previous study measure little attention paid lightweight semi portable building increasingly used temporarily house growing number small household 1 2 person peripheral derelict area in impact passive measure building orientation heating cooling demand assessed detached lightweight semi portable residential building mean building energy simulation be considering two scenario netherlands current future 2050 result show efficient measure consists combination exterior solar shading increase thermal resistance building envelope reduces annual heating cooling demand averaged eight building orientation 11 current 15 future impact building orientation varies according scenario compared average eight orientation considered annual cooling demand single orientation varies 31 22 24 18 current future respectively for case without measure optimizing building orientation lead annual total energy saving 4 current 3 future
2,Residential air-conditioning and climate change: voices of the vulnerable,WOS:000298723900004,issue addressed decreasing risk heat stress imperative health promotion widely accepted necessary successful le well understood vulnerability air conditioning use exacerbates conversely need promotion alternative strategy coping heat wave condition considers issue focus role air conditioning everyday life elderly public housing tenant living alone sector population identified high risk suffering heat stress method a vulnerability analysis domestic air conditioning use drawing literature policy air conditioning practice ethnographic household result residential air conditioning exacerbated existing inequity case study two specifically selected low income elderly single person household revealed household unlikely able afford solution increasing exposure heat wave absence energy subsidy residential air conditioning use heat wave caused unintended side effect system wide blackout turn led escalating electricity cost power company responded upgrading infrastructure cope period excess demand air conditioning also contributed emission cause conclusion residential air conditioning potentially maladaptive technology reducing risk heat stress
3,An analysis of pavement heat flux to optimize the water efficiency of a pavement-watering method,WOS:000350096700066,pavement watering technique cooling dense urban area reducing urban heat island effect studied since 1990 method currently considered potential tool increasing heat wave intensity frequency however although water consumption necessary implement technique important aspect decision maker optimization possible watering method rarely conducted an analysis pavement heat flux depth 5 cm solar irradiance measurement proposed attempt optimize watering period cycle frequency water consumption rate pavement watering method applied paris summer 2013 while fine tuning frequency conducted basis pavement heat flux observation watering rate requires heat transfer analysis based relation established pavement heat flux solar irradiance pavement insolation from found watering conducted pavement insolation could optimized 30 min cycle water consumption could reduced 80 reducing cooling effect le 13
4,Quantifying the thermal performance of green facades: A critical review,WOS:000330578600011,green facade climbing plant grown either directly support structure affixed external building wall like form green infrastructure increasingly considered design feature cool internal building temperature reduce building energy consumption facilitate urban warming to develop better predictive framework green facade thermal performance reviewed scientific literature literature currently dominated discipline architecture engineering lacking inter disciplinary input plant biology ecology horticulture soil science found many study prone design problem small number experimental study lacked replication provided insufficient information microclimate parameter measured assumption modelling study always delineated justified few study considered influence climbing plant characteristic fewer still investigated impact green facade design component support structure growing medium plant container irrigation system green facade thermal performance a framework future green facade propose standardised method adopted end set minimum microclimatic data required enable comparative assessment green fac ade performance furthermore stress need interaction climbing plant parameter building energy balance well influence green fac ade design element thermal performance without shift approach unrealistic expectation green facade performance benefit persist
5,Performance evaluation of climate-adaptive natural ventilation design: A case study of semi-open public cultural building,WOS:000638759200001,naturally ventilated building play vital role mitigating since produce lower co2 emission compared mechanically ventilated alternative also occupant better experience naturally ventilated building mechanically ventilated building however application natural ventilation design often hindered extreme weather condition to cope problem proposes adaptive natural ventilation design utilize adapt local ventilation performance design quantitatively evaluated using computational fluid dynamic cfd approach cfd simulation first validated experiment utilized reproduce wind flow inside building four season evaluation parameter include air change per hour ach wind speed pedestrian level wind flow pattern indoors result showed adaptive natural ventilation meet requirement chinese green building assessment standard gb t50378 2019 highest ach value 15 8 time per hour furthermore wind speed pedestrian level varies 0 08 0 39 practice finding reported useful future development sustainable adaptive building
6,"The role of urban green infrastructure in mitigating land surface temperature in Bobo-Dioulasso, Burkina Faso",WOS:000375377000003,green infrastructure developed country used strategy lower increased temperature city but use green infrastructure provide ecosystem service increase resilience largely overlooked urban policy developing world analyzed role urbanization green infrastructure urban surface temperature bobo dioulasso burkina faso sub saharan africa use available geospatial data technique spatially temporally explore urbanization land surface temperature lsts 20 year effect specific green infrastructure area city lsts also analyzed result show increased urbanization rate increased temperature trend across time space but lst green infrastructure area indeed lower adjacent impervious urbanized area seasonal phenological difference due rainfall pattern available planting space site limitation accounted maximize temperature reduction benefit discus approach finding urban peri urban agriculture forestry used policy uptake formulation field food security urbanization municipal government city burkina faso
7,Carbon Capture and Utilization Technology without Carbon Dioxide Purification and Pressurization: A Review on Its Necessity and Available Technologies,WOS:000470034200001,carbon capture utilization ccu attracted increased attention mean mitigate adapt ccu technology regard co2 raw material reduces co2 emission however purity pressurization requirement ccu technology high flue gas emitted industry transportation requires advanced purification pressurization limit development decrease feasibility ccu application hence new approach ccu technology without co2 purification pressurization desirable review difference co2 purity pressure waste co2 feedstock co2 review difficulty co2 purification pressurization recent development ccu provides several promising example ccu technology without co2 pressurization purification various promising ccu technology future prospect discussed mineral carbonation biological conversion appear possible solution ccu technology without co2 purification pressurization for ccu approach trial decrease required co2 purity pressure feedstock co2 required
8,Analysis of the effect of passive measures on the energy consumption and zero-energy prospects of residential buildings in Pakistan,WOS:000589498900002,adversely impact thermal comfort energy efficiency building stock south asian country particularly vulnerable adverse impact specially form rising temperature increasing frequency heat wave passive building design measure useful mitigating adapting increasing energy efficiency reducing greenhouse gas ghg emission in various passive measure pcams used individually form combination order analyze impact energy efficacy residential building pakistan it found natural ventilation front green wall efficient option reducing overall energy consumption by implementation pcams cooling demand decreased 27 75 heating demand reduced 35 secondly prospect net zero energy building reduced co2 emission also studied it shown building achieve net zero energy annual basis every orientation attain status nearly zero energy building monthly basis moreover emitted co2 reduced 31 using renewable energy
9,Modeling adaptation as a flow and stock decision with mitigation,WOS:000331973200011,an effective policy response include among thing investment lowering greenhouse gas emission mitigation well short term temporary flow long lived capital intensive stock a critical near term question investment reducing damage allocated across element policy portfolio especially face uncertainty future damage also effectiveness yet untested effort build recent effort dice based integrated assessment modeling approach include two type short lived flow spending long lived depreciable stock investment along mitigation identify explore uncertainty impact relative proportion policy within response portfolio demonstrate relative ratio flow stock mitigation depend critically interaction among 1 relative effectiveness baseline stock versus flow 2 degree substitutability stock flow type 3 whether exist physical limit amount damage reduced flow type investment result indicate empirical could focus best inform near term policy decision provide first step towards considering near term policy flexible face uncertainty
