,title,wos,clean_abstract
0,Analytical Framework to Assess the Incorporation of Climate Change Adaptation in Water Management: Application to the Tordera River Basin Adaptation Plan,WOS:000458929500207,projection indicate mediterranean region area drastic change occur significantly affect water resource in context increasing pressure water resource result reduction water availability essential urgent structure water management way allows challenge changing bring already water scarce region it necessary generate experience methodology based real case study lay foundation generalisation practice water management in developed ready use analytical framework evaluate coherence water management plan program principle tested applicability framework developed tordera river basin plan trbap analytical framework proven easy apply allow identifying inclusion exclusion key feature appropriately structured analytical framework starting point contributing assessment incorporated water management
1,Hydrological Modelling and Climate Adaptation under Changing Climate: A Review with a Focus in Sub-Saharan Africa,WOS:000904707900001,empirical evidence continues show remains threat stability hydrologic system a system interacts hydrologic cycle one significant repercussion global warming includes change water availability regional local scale intrinsically difficult attain due dynamic earth system lack comprehensive understanding future associated uncertainty mostly developing country hampered scarcity good quality adequate hydro meteorological data provides synopsis modelling chain applied investigate response hydrologic system changing includes choosing appropriate global model downscaling technique emission scenario approach used hydrologic modelling conventional criterion choosing suitable hydrological model discussed advancement emission scenario including latest shared socioeconomic pathway role modelling impact assessment also highlighted also discus uncertainty associated modelling hydrological impact plausible approach reducing uncertainty among outcome include highlight study commonly used hydrological model assessing impact particularly sub saharan africa region specific review southern africa further review show human system keep dominating within earth system several way effective modelling involve coupling earth human system model may truly represent bidirectional feedback experienced modern world concludes adequate hydro meteorological data key robust model effective measure hence poorly gauged basin use artificial neural network satellite datasets shown successful tool including model calibration validation
2,"Matching research and policy tools to scales of climate-change adaptation in the Murray-Darling, a large Australian river basin: a review",WOS:000317628200007,likely cause deleterious hydrological ecological impact many world major river basin using murray darling basin case present framework address hydrological impact three spatial scale high conservation value asset water management unit entire basin at scale appropriate scientific policy operational tool differ though applied concert at scale asset hydrodynamic modelling improved capacity site manager anticipate effect management intervention these model also contributed improve hydrological modelling water management unit when combined ecosystem response model hydrological model compare ecological outcome range timescales leading improvement representation environmental requirement water sharing plan at scale basin australian government used legislative mechanism set overarching ecological diversion objective in addition purchase water use entitlement created flexible mechanism use water market mechanism responding changing water availability conservation priority emerge coming decade
3,Climate change adaptation: a pragmatic approach for assessing vulnerability,WOS:000460043400017,impact society becoming increasingly evident water sector sensitive variation climatic pattern expected major change flow occur along increased risk water quality degradation flooding according published scenario mediterranean area become dryer a leading group operating water sector portugal adp decided develop strategic plan aim establishing strategy reducing business vulnerability increasing system resilience in developing plan pragmatic method adopted characterizing current vulnerability founded bottom approach supported past event data including evaluating impact adaptive capacity system utility extreme in water supply effect severe frequent extreme event felt respect water quality availability representing much 80 event studied whereas term sanitation flood account 90 event identified globally 78 21 measure adopted water supply wastewater management respectively effective
4,Essentials of Endorheic Basins and Lakes: A Review in the Context of Current and Future Water Resource Management and Mitigation Activities in Central Asia,WOS:000414707500074,endorheic basin e land locked drainage network lake highly sensitive variation adverse anthropogenic activity overexploitation water resource in provide brief overview one major endorheic basin continent plus number endorheic basin central asia ca region large proportion land area within type basin summarize effect changing driver land surface atmosphere feedback water balance for ca region also discus key anthropogenic activity related water management approach complex relationship political policy issue in ca substantial increase irrigated agriculture coupled negative impact disrupted fragile water balance many endorheic basin lake transboundary integrated land water management approach must developed facilitate adequate possible mitigation adverse anthropogenic influence endorheic basin ca suitable mitigation efficient natural resource management technology method available developing fast a number discussed technology alone sufficient address pressing water resource issue ca food water energy nexus analysis demonstrate transboundary endorheic basin management requires transformational change involvement key stakeholder regional program supported local government international donor incorporate advanced technology water resource management capacity development essential successful effort ca however need accelerated uptake program emphasis unification approach pressure resulting aggravated human mismanagement natural water resource leave little time hesitation
5,Improving China's water resources management for better adaptation to climate change,WOS:000302327700006,challenged insufficient water resource degraded water quality caused widespread pollution china face imbalance supply demand water supporting rapid social economic development protecting natural environment ecosystem expected stress freshwater resource widen gap demand supply water a legacy earlier planned economy water resource management primarily supply driven largely fails account economic nature water resource relation natural characteristic present historical perspective water resource management policy practice china recommends demand management pollution control key measure improving water resource management adapt based current political socio economic water resource condition past future impact water resource china general strategy also presented how demand management increasing water use efficiency improving water right right trade effective regulation enforcement along pollution control could improve china water resource management discussed detail ultimately china develop sustainable water resource management strategy based supply demand side management option make limited water supply meet demand economic development social well conservation ecosystem context global
6,A risk modeling framework to evaluate the impacts of climate change and adaptation on food and water safety,WOS:000350934000011,may factor leading increased risk food waterborne illness consumption existing emerging biological hazard it beneficial develop integrated approach evaluate provide scientific assessment potential measure inform risk management related weather event to end risk modeling framework created facilitate estimation impact weather public health risk biological hazard food water compare potential risk mitigation strategy framework integrates knowledge synthesis method data storage maintenance stochastic modeling risk assessment model developed food water safety case study demonstrative purpose scenario analysis indicated implementing intervention measure adapt changing impact might mitigate future public health risk pathogen varying degree framework brings generic approach allow comparison relative public health risk potential strategy across hazard exposure pathway region assist preventive effort decision making crown
7,Resilience and adaptation to extremes in a changing Himalayan environment,WOS:000333267700020,human community inhabiting remote geomorphically fragile high altitude region particularly vulnerable related glacial hazard hydrometeorological extreme present strategy enhancing resilience community living immediately downstream two potentially hazardous glacial lake upper chenab basin western himalaya india it us interdisciplinary investigative framework involving ground survey participatory mapping comparison local perception environmental hazard scientific data identification asset livelihood resource risk assessment existing community level adaptive capacity resilience brief governance issue in addition recommending specific action securing life livelihood area demonstrates crucial role regional ground level community centric assessment evolving integrated approach disaster risk reduction high altitude environment particularly developing world
8,Increasing arsenic accumulation as an implication of climate change: a case study using red algae,WOS:000777238500001,due increasing concentration carbon dioxide atmosphere global issue it impact aquatic environment affecting water flow pollutant transformation migration toxicant related effect assessed interactive effect temperature warming ph change variation accumulation total arsenic a t red alga sarcodia suae different level arsenite a iii result showed a t variation alga moderated significant joint effect warming temperature increasing ph level interaction increasing a iii concentration our suggests possible deleterious impact macroalgal population due toxicological effect associated prevailing environmental condition therefore improved pollution management mitigation strategy needed deal current environmental issue a aggravation
9,Climate proofing the Zuidplaspolder: a guiding model approach to climate adaptation,WOS:000336035100005,impact various sector housing infrastructure recreation agriculture may spatial demand for example rising temperature increase need recreation area area could assigned water storage there growing sense especially local scale spatial planning key role addressing cause impact promotes approach help translate information impact guiding model adaptive spatial planning describe guiding model used designing integrated strategy concept guiding model developed 1990s tjallingii translate principle integrated water management urban planning integrated information present future set guiding model approach making use guiding model spatial planner able better cope complexity impact able translate implication spatial planning guiding model approach first applied zuidplaspolder case one first major attempt netherlands develop implement integrated strategy demonstrates construction guiding model requires participatory approach use guiding model contribute information need spatial planner local scale leading increasing sense urgency integrated planning process
