,title,wos,clean_abstract
0,Climate change adaptation as a development challenge to small Island states: A case study from the Solomon Islands,WOS:000525353800017,small island developing state sids known particularly vulnerable pose challenge economic social development vulnerability expressed several way exposure sea level rise salt intrusion extensive drought area despite rather negative trend example initiative vulnerability sids reduced resilience may increased based paucity literature concrete example successful initiative sids present overview pertinent challenge faced introduces two case study solomon island illustrate much achieved systematically pursuing strategy lesson learned case study outlined useful insight provided may help sids better foster development opportunity offer
1,Construction of Climate Change-Adapted Seaweed Beds on the Japanese Coast,WOS:000441173100079,japanese coastal seaweed bed experiencing long term decline area coverage phenomenon called isoyake massively impacted fishery industry therefore performed seaweed bed restoration consequent measure implemented along promulgation relevant technology meanwhile increasing seawater temperature environmental change associated one cause isoyake spreading globally become increasingly severe recent year with respect method coping effect intergovernmental panel fifth assessment report 2014 call effect already occurred unavoidable medium long term effect in context discus present state future forecast seaweed bed japanese coast considers future trend adapted seaweed bed construction
2,A climate adaptation strategy for Mai Po Inner Deep Bay Ramsar site: Steppingstone to climate proofing the East Asian-Australasian Flyway,WOS:000585943400041,ecological functionality east asian australasian flyway threatened loss wetland provide staging wintering site migrating waterbird disappearance wetland ecosystem due coastal development prevents bird completing migration resulting population decline even eventual collapse migration phenomenon coastal wetland also threat global consequence notably sea level rise slr extreme storm event accompanying wave tidal surge impact slr compounded coastal subsidence decreasing sedimentation result coastal development thus important wetland along flyway assessed impact coastal subsidence plan implement proactive strategy include habitat migration possibility coastal squeeze modelled impact decreasing sedimentation rate important bird habitat mai po inner deep bay ramsar site support strategy continue host migratory bird located inner deep bay pearl river estuary mai po tidal flat coastal mangrove marsh fishpond provide habitat 80 000 wintering passage waterbird applied sea level affecting marsh model slamm simulate habitat conversion two slr scenario 1 5m 2 0m 2050 2075 2100 four accretion rate 2mm yr 4 mm yr 8 mm yr 15 mm yr result showed discernible impact habitat 2075 projection 2100 show mangrove marsh tidal flat could impacted almost scenario slr accretion under 1 5m slr scenario even low tide accretion level decrease 4 mm yr tidal flat inundated 2 mm yr accretion mangrove also inundated thus important shorebird habitat lost during high tide pond inside nature reserve intensively managed provide high tide roosting site habitat waterbird also inundated thus 1 5m slr declining sedimentation migratory shorebird lose habitat including high tide roosting habitat inside nature reserve model also indicates fishpond inland ramsar site le impacted most fishpond privately owned could developed future including high rise apartment thus securing conservation important strategy mai po since provide essential habitat bird future scenario but mai po one steppingstone along eaaf hundred wetland also threatened encroaching infrastructure thus similar analysis wetland recommended develop flyway wide conservation strategy available option become lost wetland conversion
3,Cumulative climate change influences and hazards affecting the Sunshine Coast,WOS:000472013000014,projection indicate low elevation area along queensland coastline experience increasing adverse effect submergence coastal flooding coastal erosion due sea level rise current future scenario pose significant risk coastal population economy community natural environment without planned pathway predetermined trigger point coastal environment remain susceptible geophysical hydrological meteorological hazard describes hazard heatwaves bushfire flood storm surge cyclone coastal erosion impact lowland area sunshine coast region assessment done context converging disaster risk reduction strategy using framework define analyze implement reassess
4,Coastal tectonics and habitat squeeze: response of a tidal lagoon to co-seismic sea-level change,WOS:000547364500001,investigated response tidal lagoon system unique situation relative sea level induced powerful earthquake m w 7 1 east coast new zealand 2010 2011 spatiotemporal impact quantified using airborne light detection ranging lidar datasets complemented hydrodynamic modelling evaluation anthropogenic influence ground level change included example uplift extensive subsidence ca 0 5 associated intertidal area reduction particularly supratidal zone coastal squeeze effect occurred incompatible infrastructure prevented upland ecosystem movement relative sea level rise despite large scale managed retreat legacy effect land filling reduced reversibility human modification impairing system resiliency poor land use design elsewhere available space intertidal range show natural environment movement could readily assisted simple engineering technique though challenged competing land use demand quantification gain loss showed lagoon expansion previously defended area indeed required sustain critical habitat highlighting importance whole system view identifiable coastal planning principle include need ass trade offs natural built environment design hazard management plan requiring greater attention natural movement ecosystem area involved treating observation scenario illustrates mechanism coastal squeeze effect may develop global sea level rise purpose help avoid identifying appropriate human response highlight need improved focus whole system resilience importance disaster recovery process
5,"Mapping sea level rise impacts to identify climate change adaptation opportunities in the Chesapeake and Delaware Bays, USA",WOS:000530231700002,salt marsh risk globally cannot keep pace sea level rise along united state mid atlantic coast high marsh already declined particularly vulnerable future loss due greater regional rate relative sea level rise limited capacity vertical accretion landward migration to support effort region conducted spatial overlay analysis 1 ass interior ponding high tidal marsh zone caused waterlogging 2 identify restoration opportunity poor drainage limiting natural recovery surface inundation increased across 14 000 ha high marsh region mostly along eastern chesapeake bay new jersey coast within waterlogged area identified 239 potential restoration site 275 ha validation data indicate analysis relatively high accuracy identifying potential restoration site true positive rate 76 true negative rate 96 widespread waterlogging emphasizes need effort restore protect high marsh face future our recommended restoration strategy connecting waterlogged site tidal creek aligns best practice enabling drainage high marsh halt even reverse ponding improve recovery future flooding event ultimately facilitate marsh migration sea level rise
6,"Impact of climate and land use change on ecosystem services: A case study of Samutsakorn province, Thailand",WOS:000445981800009,capacity delivering ecosystem service essential social well impeded land use causing significant alteration quality function service many ecosystem focus project future service coastal ecosystem samutsakorn province thailand 2050 layer projected using worldclim database 30 resolution projection land use analysis 2050 using spatial allocation model simulated two scenario business usual sustain ability driven result revealed increase sea level temperature precipitation associated decrease forest cover ultimately degrade function service coastal ecosystem impede community resilience there thus urgent need scaling restoring mangrove ecosystem effective coastal heavily depends engagement stakeholder early stage
7,Coastal adaptation to Sea Level Rise: An overview of Egypt's efforts,WOS:000782269600001,coastal zone recognized priority area without robust effective numerous coastal zone drastically affected there ongoing need coastal particularly low lying delta highly vulnerable coastal hazard based sea level rise slr worldwide national coastal strategy mainly focusing three coastal approach issued international panel retreat accommodation protection developed developing country made serious effort adapt slr investigates egyptian effort best practice experience dealing coastal erosion flooding inundation based slr egyptian national strategy coastal mainly adopted protection approach along nile delta coast egypt various national project contain coastal measure detected seawall revetment sand dune nourishment artificial sand dune based geotextile sand tube core using natural reed mat sand trapping in addition different action constructing modern fish farming regular dredging coastal lake lagoon enforcing coastal road observed all provide defense system most promising technology effort action show favorable response guarantee adequate protection slr hazard
8,Unavoidable solutions for coastal adaptation in Reunion Island (Indian Ocean),WOS:000447557600041,recent past trajectory vulnerability related hazard allows highlighting prevailing environmental anthropogenic driver operated last fifty sixty year given latency phenomenon social system therefore potential continue driving system vulnerability coming decade stop even reverse trend represents much unavoidable solution enhancing concrete long term whatever end century warming scenario using case reunion island indian ocean emphasize four major driver recent coastal trajectory vulnerability e change human built asset shoreline position natural buffer characteristic extent coastal protection structure together driver highlight need controlling urbanisation process reduce anthropogenic pressure exerted morphological ecological system restoring buffering function latter moving towards le hard structure dependent coastal defence strategy such shift coastal management however supposes radical change way coastal development strategy consider environmental issue hazard resource service here bring empirical material showing neither reunion island decision maker keen drive radical change population ready accept potentially constraining policy benefit future conclude need advancing design pathway build implementation context specific unavoidable solution thus seriously consider limiting risk maladaptation baseline strategy
9,Seasonal controls on nearshore dissolved oxygen variability and hypoxia in a coastal embayment,WOS:000889487800002,declining dissolved oxygen do emerging increasingly important stressor nearshore ecosystem growing need better understand do dynamic hypoxia risk highly variable environment in collected data monthly cruise inner shelf continuous nearshore mooring inside outside small coastal upwelling embayment san luis obispo bay central california weekly phytoplankton measurement inside bay upwelling season nearshore do generally domi nated low frequency synoptic variability increased do variance near surface relative bottom inside bay compared outside two nearshore hypoxic regime identified in first regime occurred period strong upwelling spring across nearshore site nearshore bottom water temperature do t do relationship aligned found offshore suggesting hypoxia driven direct advection cross shelf exchange low do subthermocline water shelf period also coincided minimal water column stratification small vertical do difference diatom dominated phytoplankton assemblage in second regime occurred summer month characterized weaker upwelling strong stratification dinoflagellate dominated phytoplankton assemblage near bottom t do relationship inside bay deviated significantly shelf offshore these hypoxic event inside bay likely driven localized respiration lack ventilation bottom water due strong stratification collectively observation reveal shift strength magnitude physical versus biological process driving nearshore do dynamic high spatiotemporal variability do dynamic upwelling bay mean likely forefront ecosystem impact adaption may act sentinel system canary coast
