,title,wos,clean_abstract
0,Waves of Change: Towards Ecosystem-Based Management to Climate Change Adaptation,WOS:000757202900001,coastal impact challenge policy decision maker adopt effective measure ecosystem based management approach shift towards holistic integrated sustainable path however country work strategy adapt question agenda consider operationalise ecosystem based management remains a one world largest coastal country brazil prominent role advancing implementation ecosystem based management coastal zone by analysing two national brazilian institution evaluates discus country advance promoting adaptation based ecosystem based management principle our finding show although brazil incorporated many ecosystem based management principle national level greater attention given operationalizing principle related acknowledging uncertainty sustainability democracy knowledge production application challenge implement principle mirror historical challenge brazilian coastal management policy balancing development conservation promoting social participation implementing effective social ecological assessment monitoring program policy maker scientist community aware need strengthen ecosystem based management principle current agenda order enhance capacity foster coastal sustainability
1,Climate change adaptation and disaster risk reduction: Contested spaces and emerging opportunities in development theory and practice,WOS:000290181300003,pursuit theoretically practically intensified considerably past decade response increasing awareness potential impact global despite momentum interaction pre existing strategy reduce vulnerability build resilience developing world recently received significant attention using example disaster risk reduction explores developing interface existing development methodology overlapping interest while established must greater collaboration field many question remain surrounding scope interaction review literature relationship disaster risk reduction explores unanswered question developing conceptualization an examination theoretical point convergence divergence raise range question surrounding conceptualized academic literature policy environment there rich space consider pre existing development pathway within narrative enhancing adaptive capacity requires robust framework holistically engage embedded structure perpetuate socio economic environmental vulnerability
2,GOVERNANCE FOR CLIMATE-CHANGE ADAPTIVE CAPACITY IN THE SWEDISH ELECTRICITY SECTOR Do changes in structure and culture matter?,WOS:000310611300006,analysis capacity cca swedish electricity grid sector utilizing two perspective organization theory directs attention change sector 1980s 2010 radical npm reform 1996 for time 1996 finding indicate high cca capacity reform led reduction capacity increased emphasis economic efficiency although also room robustness consideration show organizational culture formal structure influence capacity adapt
3,PLANNING AND STRATEGIC TOOLS FOR ADAPTING URBAN AREAS TO CLIMATE CHANGE IN POLAND,WOS:000739490300003,shaping development policy state region city referring broadly understood issue related process connected necessity creating new constantly updated planning strategic document adjusting provision current need global civilisation process challenge well regional local specific one important element policy take account problem urbanised area management built natural environment resource subject planning strategic tool used development policy adapt urbanised area aim indicate possibility limitation planning instrument context indicate coherence context implementation activity includes planning strategic instrument developed area sustainable management built natural environment recent year poland particular reference example metropolis gzm
4,Analytical lenses on barriers in the governance of climate change adaptation,WOS:000342180000006,barrier become important concept scientific political discussion governance over past year discussion dominated one analytical lens examining barrier proposing way overcome problem solving lens in aim demonstrate theoretically empirically choice analytical lens influence barrier constructed intervention strategy proposed drawing recent governance literature explore rationale three dominant philosophy governance optimist realist pessimist philosophy next demonstrate philosophy operationalized guide scientific inquiry barrier four empirically rooted analytical lens governance problem solving ii governance competing value interest iii governance institutional interaction iv governance dealing structural constraint investigate dutch government spatial programme four lens discus analytical lens frame barrier specific way identifies different cause barrier lead competing interpretation key event present type intervention overcome barrier conclude necessary increase analytical variety order critically engage theoretical debate barrier empower policy practitioner search successful intervention strategy implement measure
5,Obstacles to climate change adaptation decisions: a case study of sea-level rise and coastal protection measures in Kiribati,WOS:000339332600007,international aid increasingly focused at recent meeting party united nation framework convention developed world agreed rapidly increase international assistance help developing world respond impact in examine decision making challenge facing internationally supported project using example effort implement coastal protection measure e g sea wall mangrove planting kiribati central equatorial pacific country home kiribati project first national level project supported world bank drawing interview document conducted 8 year period trace force influencing decision coastal protection measure starting variability uncertainty projection trade offs different measure social political economic context decision finally made discus sub optimal measure may implemented despite year planning consultation technical study qualitative analysis real world process reveals embracing culturally appropriate short term similar 20 year planning horizon ignoring longer term future may reduce influence scientific uncertainty decision provide opportunity learn mistake reassess science adjust suboptimal investment limiting element approach likely availability consistent long term financing
6,Assessing Strategies for Urban Climate Change Adaptation: The Case of Six Metropolitan Cities in South Korea,WOS:000436570100377,a interest grows increasing number national local government developing strategy ass strategy urban municipal government south korea plan budget expenditure six metropolitan city south korea compared based implementation plan strategy ipccas 2012 2016 annual expenditure report city result show actual implementation program varied vi vi original plan term level overall expenditure sector specific expenditure following finding drawn analysis first case highest priority disaster infrastructure water management health sector second actual expenditure program smaller planned budget ipccas third prioritized sector matched planning implementation seoul daegu daejeon incheon busan ulsan fourth program south korean metropolitan city seem well tailored case
7,Beyond Adapting to Climate Change: Embedding Adaptation in Responses to Multiple Threats and Stresses,WOS:000284418100002,impact already experienced every region united state every part world severely arctic region needed although still infancy significant planning united state already begun number locality seek broaden effort integrating broader framework hazard sustainability science community regional resilience to extend range experience draw ongoing case study southeastern united state environmental history new orleans consider multiple threat stress community region experience embedding response multiple threat stress help u understand impact often product multiple stress achieve community acceptance needed adaptation cobenefits addressing multiple threat mainstream process larger envelope social relationship communication channel broad based awareness need risk management accompany community resilience
8,A systematic review of research on climate change adaptation policy and practice in Africa and South Asia deltas,WOS:000354404600006,recent year witnessed rapid increase scholarship peer reviewed literature governmental communiqu report increasingly reporting formulated implemented policy strategy plan action a large part literature describes general policy strategy limited published work intervention local scale generality limited strategy also term coverage region believed highly vulnerable effect among hotspot understanding limited river delta herein synthesizes selected literature policy practice river delta located africa south asia a systematic methodology used scan online knowledge portal published paper also unpublished government document characterizes state policy african south asian delta identifies future priority targeting large delta region
9,Agenda-setting on the environment: the development of climate change adaptation as an issue in European states,WOS:000312807500001,increasingly recognized necessary complement mitigation resulting growing number policy action across globe applies john kingdon theory agenda setting multi level approach explain way issue recently developed four european country united kingdom sweden finland italy illustrates multi level policy window opened context uk whereas mainly developed national specific local case finland sweden italy issue remains agenda thus show policy window may supported interaction stream national sub national level particularly buttressed focusing event medium reporting
