,title,wos,clean_abstract
0,Microhydro electrification and climate change adaptation in Nepal: socioeconomic lessons from the Rural Energy Development Program (REDP),WOS:000316119400001,explores potential microhydro installation nepal improve adaptive capacity addition ability mitigate greenhouse gas emission after explaining method data collection namely field interview explores benefit microhydro plant promoted renewable energy development project redp besides displacing fossil fuel particular kerosene lighting microhydro electrification offer effective way improving community asset bolstering social resilience thereby enhancing adaptive capacity community our survey redp project site reveals microhydro unit improved community income level equalized gender role enhanced access education information reduced migration pattern concludes highlighting three key lesson role extensive community mobilization proactive capacity building efficient electricity use need comprehensiveness wishing adapt rural developing economy
1,REAL ESTATE SECTOR IN THE FACE OF CLIMATE CHANGE ADAPTATION IN MAJOR POLISH,WOS:000645461200005,aim subject matter literature analyse development policy document major polish city addressing issue urban plan polish abbr mpa concerning real estate sector also attempt draw conclusion identify potential benefit challenge construction sector currently facing literature focus coastal real estate cost benefit barrier building mpas point significant role real estate sector adapting soft hard instrument becoming increasingly important mpa these spatial planning building restriction hazardous area use green roof investment system incentive investor promote activity ecological education investment improving energy efficiency building also identified benefit real estate sector e g growing importance occupation real estate market development innovation increased access cheaper service technology in polish city high intensity residential area characterized high sensitivity mpas strengthen resilience city technical infrastructure public space well develop blue green infrastructure may translate increased resilience real estate
2,"Social capital, individual responses to heat waves and climate change adaptation: An empirical study of two UK cities",WOS:000274672500007,it claimed high social capital contributes positive public health outcome strong social network said support individual collective initiative enhance resilience a result expectation social capital could reduce vulnerability risk impact health sector examines evidence role social network play individual response heat wave risk case uk based interview independently living elderly people primary social contact london norwich suggest strong bonding network could potentially exacerbate rather reduce vulnerability elderly people effect heat wave most respondent interviewed feel heat wave posed significant risk personally said would able cope hot weather bonding network could perpetuate rather challenge narrative therefore contribute vulnerability rather ameliorating these result suggest complex rather uniformly positive relationship social capital health
3,Italy vs. Poland: A Comparative Analysis of Regional Planning System Attitudes toward Adaptation to Climate Changes and Green Infrastructures,WOS:000932560300001,european spatial planner deal two major concern change acc design management green infrastructure gi acc call renewal spatial planning constant appeal need adequately prepare extreme event gi deliver ecosystem service e consist beneficial function living being term example helping people adapt an effective implementation measure regional sub regional scale based efficient prompt spatial planning system gi management in aim comparing attitude italian polish spatial planning system respect integration concept related acc gi describe commonality difference two spatial planning framework scrutinizing regional plan adopted sardinia italy wielkopolska poland found scarce consideration acc gi planning management finding suggest regional spatial planning tool need updated fully satisfactory term acc gi concept
4,Emergence of new knowledge for climate change adaptation,WOS:000429511100005,decision making requires integrated cross sectoral approach adequately capture complexity interconnected system more meaningful decision taken arena different agent provide knowledge specific domain us semi quantitative method based cognitive mapping demonstrate new knowledge emerges combining knowledge diverse agent for case heatwaves city madrid spain elicit knowledge climatic impact across urban sector potential option knowledge elicited individual interview aggregated using fuzzy cognitive map observe individual map vary considerably size structure fend evidence diverse even contradictory perception there super stakeholder theoretically could provide full knowledge mechanism operating urban system maximum percentage final aggregated map explained single individual 26 term concept 13 term connection illustrate emergence new knowledge sustained combining scientific policy expertise our approach support knowledge co production allows account interconnectedness urban sector climatic impact view formulating robust strategy
5,Assessing the economic loss due to natural disasters from outer space,WOS:000796474500002,propose innovative approach provide service using geographic distribution natural disaster asset exposed disaster nighttime light estimate potential benefit economic loss avoided use quasi experimental panel data approach ass economic loss pre post natural disaster reflected change nighttime light annual data 1992 2012 philippine used example illustration find potential benefit climatechange might much higher implied previous literature based philippine data also show benefit would increase frequency natural disaster our approach provides cost effective transparent timely alternative conventional approach
6,"The use of local climate zones in the urban environment: A systematic review of data sources, methods, and themes",WOS:000777768900002,concept local zone lcz emerged identify nature urban air quality temperature local level thus review literature methodology data source used lczs empirical identifies recurrent theme a systematic conducted using bibliometric analysis prisma framework web science scopus database used extract relevant datasets record screened extracted descriptive analysis reveal lcz empirical done chinese city numerous data source analytical method used landsat wudapt methodology generally favored lcz due simplicity freely available global datasets similarly also show various software methodology available identify sensitive area urban settlement varying functionality accuracy visualization thematic analysis indicates lcz framework associated process used crosscutting phenomenon thermal comfort urban planning energy use also suggests incorporating institutional social aspect local zone lczs integrate philosophy urban resilience sustainability
7,Solar smart grid as a path to economic inclusion and adaptation to climate change in the Brazilian Semiarid Northeast,WOS:000484115200004,purpose aim exploit abundance solar energy resource socioeconomic development semi arid northeastern brazil potent tool global it point set conjuncture factor allow u foresee new paradigm sustainable development region transforming sun radiant energy electricity distributed photovoltaic generation new paradigm presented essay transformative potential free region past regional development dogma dependent scarce water resource marginal predatory use caatinga biome design methodology approach us pre ante design following procedure scenario building mechanism sector energy generation socioeconomic inclusion finding scenario socioeconomic resilience based abundance solar radiation rather scarcity water demonstrates potential global paradigm limitation implication development proposed dependent federal legislation change allowing small producer remunerated energy produced practical implication proposed smart grid photovoltaic generation program increase country resiliency effect drought social implication a proposed program allows reversion pattern long term poverty semi arid northeast brazil originality value exploitation characteristic abundance semiarid e condition semi aridity abundant solar radiation advantage factor toward adaption unforeseen drought event extensive previous focused weighting monitoring drought e paradigm scarcity interplay exploiting northeast brazil abundant factor especially small farmer level constitutes discovery never contemplated
8,Facing the heat: initial probing of the City of Johannesburg's heat-health planning,WOS:000463963200001,city johannesburg coj likely experience frequent heat wave 2100 health impact prioritized strategic focus identified challenge opportunity better operationalizing heat wave consideration within environmental health department city johannesburg by obtaining deeper appreciation issue concern existing contradiction context practitioner located opportunity barrier engagement help surface issue may confront city planning extreme heat future currently heat wave absent local department mandate unclear legislative requirement blurring responsibility heat wave planning service delivery backlog relegate heat wave consideration department constituency heat wave yet concern however heat wave planning support community health education raising public awareness associated health risk considered future proofing city
9,A Climate Action Plan for the California Department of Water Resources,WOS:000897105300003,key takeawaysgreenhouse gas mitigation vulnerability incorporated existing utility business project management process a comprehensive action plan meet exceed legal requirement reduce risk achieve business process efficiency apply best available science demonstrate social responsibility focused internal workgroups expert consultation inspired management feedback loop breadth application quantitative detail critical success
10,Passive cooling strategies to optimise sustainability and environmental ergonomics in Mediterranean schools based on a critical review,WOS:000823045400003,identifies compare passive cooling strategy used relationship optimising sustainability environmental ergonomics based 47 case study analysis school resulted identification 20 passive strategy eight parameter related sustainability six related environmental ergonomics result show used passive strategy natural ventilation green roof low thermal transmittance window solar shading in contrast least used strategy ventilated facade evaporative cooling system in term sustainability energy efficiency present case study contrast circular economy hardly considered school in term environmental ergonomics thermal comfort present case study acoustic comfort assessed furthermore result show absence optimisation acoustic visual comfort measure involvement educational community work provides detailed understanding status quo researcher practitioner policymakers predicts dynamic direction field it highlight need incorporate passive design protocol explicitly applied school achieve sustainable resilient educational building stock within principle circular economy
11,A method of heat risk territorial assessment to support the urban planning,WOS:000924920300001,heat risk territorial assessment tool evaluating strategy action combat high temperature consider spatial factor trend identify place greatest risk tool requires use method based mapping hazard exposure vulnerability factor report two complementary integrated activity describes elaboration path yet concluded first activity concern continuation development functional evaluation method integrating territorial risk analysis urban planning tool second activity carried part applied action concern application method heat risk territorial assessment population application made municipality citta metropolitana di milano able far develop aspect risk analysis later integrate application urban plan however repercussion urban planning decision making process aim achieve range pervasive aware management urban transformation oriented towards overall reduction heat risk level realisation resolutive punctual intervention
12,Health co-benefits and risks of public health adaptation strategies to climate change: a review of current literature,WOS:000316760300015,many public health strategy identified response report review current literature health co benefit risk strategy gain better understanding may affect health a literature conducted electronically using english language literature january 2000 march 2012 of 812 article identified 22 peer reviewed article directly addressed health co benefit risk included co benefit risk identified literature commonly relate improvement health associated action affect social capital urban design health co benefit improvement social capital positive influence mental health independently determinant risk included reinforcing existing misconception regarding health health co benefit urban design strategy included reduced obesity cardiovascular disease improved mental health increased physical activity cooling space e g shaded area social connectivity risk included pollen allergy increased urban green space adverse health effect heat event use air conditioning due current limited understanding full impact wide range existing strategy focus unintended positive negative consequence public health
