,title,wos,clean_abstract
0,Public Health Aspects of Climate Change Adaptation in Three Cities: A Qualitative Study,WOS:000845801800001,present unprecedented public health challenge great impact population health outcome across global population key addressing health challenge carried city collaboration institution including public health one through semi structured interview n 16 investigated experience perception public health aspect considered urban public health planner researcher planning coastal city soderhamn sweden porto portugal navotas philippine result thematic analysis indicated participating stakeholder aware main risk threatening city rising water level flooding extreme temperature air pollution in addition interviewee talked collaboration sector including public health sector implementing plan however inclusion public health sector partner process identified two city navotas porto furthermore found aspect pertaining public health water sanitation prevention heat related water borne disease prevention consequence associated heat wave vulnerable group child elderly person latest plan posted city website moreover participant pointed different difficulty insufficient financial resource limited intersectoral collaboration lack involvement public health sector process especially one city solely responsibility urban planner study using larger sample stakeholder larger city needed better understand public health sector still almost absent effort adapt
1,Modeling the resilient supply of ecosystem function for climate change adaptive management in Wetland City,WOS:000861282100002,rapid urbanization cause wetland ecosystem function degrade worldwide phenomenon negatively affect resilience ecosystem function face unexpected impact particularly an approach required combining resilience management wetland city aim model resilience ecosystem function management wetland city via system dy namics 2021 2100 first set system boundary expert interview identify main issue social ecological system wetland city second constructed social ecological system wetland city provides ecosystem function trade offs flood control wildlife habitat provisioning then simulated resilience ecosystem function according different adaptative management scenario finally determined appropriate scenario minimizing impact ecosystem function trade offs reinforced a result recommend water level managed controlled flood water level range 12 14 30 willow area thinned year based simulation result proposed three adaptive management strategy considering long term plan including short term effect networking multiscale community participation applying sustainable wetland management urban planning ultimately contribute planning management guideline wetland city
2,"How normative interpretations of climate risk assessment affect local decision-making: an exploratory study at the city scale in Cork, Ireland",WOS:000431148800004,urban area already suffer substantial loss economic human term related disaster these loss anticipated grow substantially part result impact in investigate process translating risk data action city level apply commonly used decision framework backdrop explore process risk assessment normative political judgement intersect use case flood risk management cork city ireland investigate needed translating risk assessment action local city level evidence presented based focus group discussion two stakeholder workshop series individual meeting phone discussion stakeholder involved local decision making related flood risk management ireland respondent chosen basis expertise involvement decision making process locally nationally representative group affected flood risk flood risk management effort also included cork example highlight despite ever accurate data increasing range theoretical approach available local decision maker normative interpretation information determines action taken use risk assessment decision making process requires normative decision setting acceptable risk level identifying adequate protection level succeed without broader buy stakeholder participation identifying embracing normative view front could strengthen urban process may fact turn biggest advantage risk assessment offer opportunity create shared understanding problem enables informed evaluation discussion remedial action part theme issue advance risk assessment policy
3,Care-full and just: Making a difference through climate change adaptation,WOS:000534585300003,in small city dunedin south east coast aotearoa new zealand sea level rise increased flood event affecting community potential impact south dunedin exacerbate existing inequality high flood 2015 became catalyst different way suggesting care full intention practice drawing local authority community action document care become basis meaningful way bring justice forefront early stage planning document tronto 2013 caring demonstrated significant shift relationship within affected community council since flood nature partnership work evident community initiative council approach community engagement providing space discussion becoming easier emotional dimension impact expressed embodied care work justice work argue invokes care care justice co constituted moral dimension caring institutionalised community local authority adaptive practice
4,"Understanding the Operational Concept of a Flood-Resilient Urban Community in Jakarta, Indonesia, from the Perspectives of Disaster Risk Reduction, Climate Change Adaptation, and Development Agencies",WOS:000494779100207,related extreme event flood continue present great challenge disaster risk management there pressing need develop robust management strategy via enhancing resiliency community particularly context complex urban environment like jakarta resilience conceptualized within specific context uniquely tailored targeted setting yet regarding operational concept flood resilient community context jakarta remains limited elaborate operational concept understanding desirable feature influential barrier flood resilient community lens three main stakeholder group disaster risk reduction drr cca development it also discus way synergy exist across group enhanced both quantitative qualitative approach applied multiple source data used finding indicate group share common view regarding importance human aspect central resilience building effort argue urgent need shift flood resilience building paradigm towards building community resilience people apply collaborative governance approach facilitate effective partnership actor involved
5,Governance challenges of flood-prone delta cities: Integrating flood risk management and climate change in spatial planning,WOS:000402353300001,delta city increasingly exposed risk particularly flooding a consequence variety new spatial development vision strategy plan programme developed city government delta region address risk challenge based general conceptual framework examines nature vision strategy plan programme delta city hong kong guangzhou rotterdam highly exposed flooding connected network epistemic community follows two main line inquiry first examines term concept dominant institutional characteristic associated development vision strategy plan programme way constructing conceptual framework understanding explaining connectivity second explores city spatial plan governance dynamic shaping response systematic development conceptual framework depth analysis varied representative case study needed finding important implication vulnerability term policy option city optimal level find dominant institutional characteristic critically affect steering capacity organisation agency including coordination capacity address related risk finding important implication vulnerability city general delta city particular
6,"Flood Risk in Urban Areas: Modelling, Management and Adaptation to Climate Change. A Review",WOS:000775257600001,modelling management flood risk urban area increasingly recognized global challenge complexity issue consequence existence several distinct source risk including fluvial tidal coastal flooding also exposure urban runoff local drainage failure various management strategy proposed high degree vulnerability characterizes area expected increase future due effect growth population living city urban densification an increasing awareness socio economic loss environmental impact urban flooding clearly reflected recent expansion number study related modelling management urban flooding sometimes within framework goal current provide general recent advance flood risk modelling management also exploring future perspective field
7,Climate change adaptation in a developing country context: The case of urban water supply in Cape Town,WOS:000290181100002,expected affect water supply extreme climatic event unpredictable rainfall pattern become prevalent bulk infrastructure tends determine urban community vulnerability water supply infrastructure tends managed government suggests water supply require government capacity commitment often lacking developing country context focus process impeding facilitating within urban water sector city cape town south africa case explores water management city scale highlighting actor currently respond water stress challenge face integrating information water management case result suggest best way facilitate focus area development need response impact connected focus support process rather outcome approach likely ensure response seen competing non development priority part solution likely create incentive global south respond
8,"Sub-national government efforts to activate and motivate local climate change adaptation: Nova Scotia, Canada",WOS:000511659800046,impact due frequent intense storm fire flood felt acutely community scale local policy planning critically important however local practitioner face many barrier undermine capacity adopt sustain initiative reduce exposure vulnerability strengthen resilience risk existing scholarship suggests national government play important role providing leadership resource support local policy development however le attention devoted investigating sub national regional government initiative support local policy planning federal state despite financial resource constitutional responsibility oversee municipality analyzes one sub national government provincial government nova scotia activated motivated local policy planning combination policy instrument municipally focused capacity building initiative in addition describing structure dynamic provincial mandate municipal planning nova scotia provide case evidence draw insight enabling condition successful implementation governance initiative kind
9,Enhancing urban flood resilience - a case study for policy implementation,WOS:000371984700005,urbanisation ageing infrastructure major challenge water sector community environment effect challenge increasing surface runoff insufficient drainage capacity resulting flooding pollution degradation ecological biological system compared traditional flood defence oriented approach concept resilience enhances overall community capacity regard risk management hazard vulnerability assessment implementation technical non technical measure fredrikstad like many municipality norway face significant water related challenge however unlike many municipality fredrikstad taken proactive action introducing stormwater management urban planning development guiding public private sector end user take integrated stormwater management measure implementation municipal master plan 2008 2028 present multilevel approach enhance municipal flood resilience strategy practice fredrikstad case could provide example political implementation recommendation municipality norway worldwide urbanisation
10,A spatially explicit framework for climate adaptation,WOS:000423629700008,city increasingly confront related problem flooding urban heat island effect impact drought vegetation there need urban water infrastructure planner able identify vulnerable area design compare evaluate intervention address problem in response need developed integrated model icam web gi tool based spatially explicit framework icam user friendly interface use wide range urban planning design professional tool built high resolution spatial datasets allowing user identify critical area may impacted sea level rise drought flooding temperature increase threat tree heath consider benefit various grey green infrastructure intervention tool suitable planning evaluating intervention identify pathway desktop modelling
11,"A pro-environmental behavior model for investigating the roles of social norm, risk perception, and place attachment on adaptation strategies of climate change",WOS:000480557400073,today major problem challenge global environment human civilization lead dramatical flood specific region a intensifies strategy flood insurance energy tax risky financial strategy drawn worldwide attention discussion risk control method widely used mitigate impact past flood loss past risk control strategy focused exploration relationship environment society human based theoretical model pro environmental behavior compare analyzes four theoretical model proposes modified competitiveness model effectively predict pro environmental behavior college student partial least square pls manner social norm could play dominant role mediator risk perception place attachment pro environmental behavior although risk perception local attachment positively related risk financial strategy promotion social norm increase intention risk financial strategy for intention risk financial strategy within pro environmental behavior efficiency enhancing local attachment higher risk perception
12,Informal Settlements and Flooding: Identifying Strengths and Weaknesses in Local Governance for Water Management,WOS:000442579700054,urbanization compounding vulnerability flooding urban poor particularly global south however local governance greater determinant flood risk hazard identifying strength weakness local governance water management therefore crucial present governance assessment quarry road west informal settlement durban south africa relation flood risk applying capital approach framework through developing deeper understanding current governance system embeddedness several social value also gauged important particularly integrative transdisciplinary management flood risk enacted case quarry road west informal settlement palmiet rehabilitation project multi sector partnership water governance interface finding indicate currently remains challenge decision maker policy planner a effective integration resident quarry road west informal settlement local governance water management urgently needed particularly important context informal settlement marginalized often lacking governance mechanism affect
13,Rainproof cities in the Netherlands: approaches in Dutch water governance to climate-adaptive urban planning,WOS:000434334100013,due increasingly frequent incident pluvial flooding public space private property adaptive building urban water management gaining momentum dutch water governance ass dutch approach urban water management looking governance approach three largest dutch municipality amsterdam rotterdam utrecht by analyzing municipality governance approach holistic way paying attention knowledge organization implementation provides good practice term different aspect resilience well lesson regarding setting performance indicator service level clarifying responsibility division applying binding rule instead soft policy
14,Distributive Justice and Urban Form Adaptation to Flooding Risks: Spatial Analysis to Identify Toronto's Priority Neighborhoods,WOS:000911898100001,empirical evidence point urban form induced flooding event intervention land us town plan e street network building footprint urban block might exacerbate vulnerability exposure engendering risk inequality injustice develop multicriteria model draw distributive justice interconnection risk driver social vulnerability flood hazard exposure adaptive capacity urban form land us town plan model ass unequally risk flooding event hence prioritized response high risk priority area located urban form adaptive intervention advance justice priority area test model toronto ontario indication increased rainfall event disparity social vulnerability our methodology started surveying toronto based flooding expert assigned weight risk driver based importance using arcgis mapped overlayed risk driver value neighborhood across city based expert assigned weight accordingly identified four high risk tower community old infrastructure vulnerable population priority neighborhood intervention within urban form these four neighborhood typical inner city tower block built 20 th century across north america europe asia based modern architectural idea considering lifespan block call future study investigate type neighborhood adapted advance justice
