,title,wos,clean_abstract
0,Measuring Progress on Climate Change Adaptation Policy by Dutch Water Boards,WOS:000412744400011,netherlands particularly vulnerable impact water system regional water authority water board given important role design implement specific policy measure manage impact from early 2000s onwards water board starting adapt impact yet systematic assessment exist ass whether progress made explains similarity difference across water board aim address critical question analyzing progress dutch water board period 2005 2016 systematically collected analyzed three consecutive water management plan 23 water board netherlands use content analysis method analyze progress looking vulnerability three level recognition groundwork action result show time number reported initiative water board increasing still recognition groundwork level our finding reveal diversity effort adapt among dutch water board conclude inter national water policy called action regional level unequal progress across netherlands suggests existing soft policy measure push might sufficient ensure progress across water board
1,Investment timing decisions in hydropower adaptation projects using climate scenarios: A case study of South Korea,WOS:000398135300042,alters energy production existing hydropower plant old established facility hydropower insufficient handle change runoff these facility retrofitted adapted hydropower two purpose first fully utilize future water resource maximizing electricity generation second generate profit return investment cost investment depends issue scenario investment cost timing implementation since future scenario intrinsically time dependent investment timing biggest issue propose adaptive investment model aim determine timing investment using real option valuation aim comprises four step identification hydropower step 1 calculation key variable step 2 real option valuation rov step 3 decision making step 4 model allows investor ass economic feasibility suggests optimal investment timing a case involving chuncheon hydropower plant south korea demonstrated aim could generate effective strategy
2,Climate change adaptation strategies in the Mekong and Orange-Senqu basins: What determines the state-of-play?,WOS:000285128000008,challenge governing transboundary water resource expected increase resulting need adapt impact temperature increase precipitation wet season le dry season in number transboundary basin international regime particular river basin commission emerging account challenge some basin however rather advanced term developing strategy others nascent stage for two case study orange senqu mekong river basin attempt explain different degree progress towards applying regime effectiveness analysis first analyze using activity diagram ad management transition framework mtf stage policy formation process two basin then attempt explain different degree progress towards mean regime effectiveness theory variable indicating regime effectiveness taken literature developed suit context find different degree progress partially explained variable regime effectiveness characteristic rule procedure organizational structure role riparian country well international context at time analysis point need analysis additional factor potentially shape decision making policy process international river basin hydrological political socio economic setting b underlying principle regional cooperation conflict
3,Evaluation of the VIKOR and FOWA Multi-Criteria Decision Making Methods for Climate-Change Adaptation of Agricultural Water Supply,WOS:000474497000016,confronting daunting challenge requires policy field water resource management proposes method reservoir operation associated projection aimed ensuring sustainability agricultural water supply method applied aidoghmoush reservoir east azerbaijan province iran employing projection 2040 2069 compare future period result calculated baseline period 1971 2000 water supply system depending aidoghmoush reservoir simulated using projection water supply system simulation ranked two multi criterion decision making mcdm method according suitability satisfying agricultural water demand sustain cropping pattern these multi criterion optimization compromise resolution vikor fuzzy order weighted average fowa mcdm method mcdm method identify best water supply management alternative
4,The use of probabilistic weather generator information for climate change adaptation in the UK water sector,WOS:000334790500001,adapting water sector requires abandoning two crucial assumption first represented instrumental record representative future instead future water resource planning cannot based old measurement sequence derived attaching factor instrumental data recognized stationarity longer viable second modelling expected give precise certain prediction future instead probabilistic projection future take account full range uncertainty form basis robust plan a response first assumption suggested stochastic weather generator represent particularly useful approach understanding impact future water resource catchment scale particularly given recent release science hidden tool ukcp09 weather generator with regard second assumption suggested modelling activity identify range plausible future develop probability risk using robust decision making technique gauge performance potential strategy best practice delivering replicable practical hydroclimatological impact assessment uk water resource catchment scale identified hypothetical example outlined it suggested although augmenting resilience water resource catchment scale dependent using correct modelling tool robustness method information used make decision equally important
5,Decision Support for Mainstreaming Climate Change Adaptation in Water Resources Management,WOS:000342448400024,cca recently emerged new fundamental dimension considered planning management water resource because need consider already perceived change trend variability extreme interaction evolving social ecological system water management facing new challenge community expected contribute innovative method tool support decision policy maker decision support system ds relatively long history water management sector they usually developed upon pre existing hydrologic simulation model providing interface facilitated use beyond limited group model developer specific routine decision making e g optimization method in recent year traditional focus ds shifted away software component towards process structuring problem aiding decision thus including particular robust method stakeholder participation analysis scientific literature identifies main open issue proposes innovative operational approach implementation participatory planning decision making process cca water domain
6,Climate information? Embedding climate futures within temporalities of California water management,WOS:000444089300003,us case drinking water utility manager california understand us information resource management a dominant narrative suggests producing management practice best adapted impact matter reconciling supply scientific knowledge demand signal resource manager question narrative reference diverse cultural socio technical structure future take meaning water management using interview n 61 analyze three ideal typical social temporality modeled future whose future truncated future define social temporality alternative construction future built socio technical engagement water collective orientation of three ideal type found one modeled future closely aligns supply demand relationship constructed scholarly literature related policy leaf nonconforming type without guidance resonates relationship information consideration sociological dimension knowledge may warrant revised additional approach service program related assistance effort
7,Water resource management in a variable and changing climate: hypothetical case study to explore decision making under uncertainty,WOS:000378052600001,investigates information water resource manager think need make decision achieved hypothetical case participant actual water resource manager practitioner administration role linked australian water resource management given theoretical future scenario asked make decision based available information case provided useful insight little evidence effective implemented despite significant advance impact science last decade it found order bridge gap recommendation successful implementation practitioner level demand improved translation communication packaging existing science information sector location specific impact e g hydrological interpretation model rainfall projection associated uncertainty attribution historical future hydroclimatic change e g happened going happen confidence likelihood surrounding quantification cost benefit decision understanding social political environmental context level acceptance associated decision
8,Cost-benefit analysis of climate change adaptation for power pole networks,WOS:000407170600017,power distribution pole network vulnerable changing increase wind speed change rainfall temperature accelerate timber decay affecting residual capacity timber power pole present utilises advanced stochastic simulation method examine impact possible strategy australian power distribution network assessment framework developed applicable wide variety infrastructure type area utilises probabilistic method investigate appropriateness strategy aimed ameliorating impact critical infrastructure measure investigated include alteration design maintenance practice example installation larger pole frequent inspection change pole replacement criterion a cost benefit decision analysis developed herein using latest ar5 projection network vulnerability measure cost loss data direct indirect cost net present value benefit cost ratio calculated different strategy life cycle asset year 2090 an measure allows installation larger pole le stringent pole replacement criterion highest net benefit mean potential saving hundred million dollar
9,"Land, Water, and Wind Watershed Cycle: a strategic use of water, land and wind for climate change adaptation",WOS:000428427200005,increase population improvement life standard stretching boundary water energy land management demanding innovative holistic solution proposes approach increasing water availability two water basin taking consideration land use wind pattern named land water wind watershed cycle l3wc approach applied one watershed combination watershed in first case wind pattern blow mainly opposite direction main river flow plantation high water demand focused lowest part basin transpired moisture would return basin wind possibly increase water availability basin applying method series basin water transposed one basin another used irrigated agriculture returned atmosphere evapotranspiration pushed back basin water extracted wind case study methodology presented so francisco basin tocantins amazona parana basin so francisco basin brazil so francisco basin selected located dry region flow considerably reduced past decade trade wind blow constantly ocean continent year around l3wc strategy plan allocation water consumption watershed taking account wind pattern support sustainable development region it potential increasing water availability creating mechanism control reduce vulnerability climatic variation
