,title,wos,clean_abstract
0,Driving the agenda for climate change adaptation in Norwegian municipalities,WOS:000320956800008,absence clear signal norwegian state concerning provides opportunity investigate municipality addressed others although difficulty associated implementing well documented le known individual take lead on basis depth interview interaction eight norwegian municipality begun working examine added local agenda find planning progressed municipality official engaged actively seeking external expertise support conclude without clearer national policy greater resource allocation legislation within norwegian municipality unlikely progress
1,Sustainable Climate Change Adaptation in Indian Country,WOS:000405925000005,much academic literature policy discussion sustainable development focus poor developing nation yet many tribal community inside united state include marginalized people developing nation face structural barrier effectively adapt there need critically examine diverse risk indigenous people united state many structural barrier limit ability adapt us sustainable framework outline context relationship power authority along different way knowing meaning illustrate underpinnings tribe barrier sustainable background structural barrier tribe traced case water right management wind river reservation wyoming used illustrate interplay policy culture justice limit included discussion ruling big horn general stream adjudication hindered tribal limiting quantity tribal reserved water right tying right sole purpose agriculture undermines social cultural connection land water failing recognizing tribal right groundwater future projection suggest increasing temperature change amount timing snowpack along receding glacier impact water availability downstream therefore building capacity take control land water resource preparing drought wind river reservation critical importance
2,"Determinants of climate change adaptation strategies used by fish farmers in Epe Local Government Area of Lagos State, Nigeria",WOS:000333970400028,background undesirable impact common occurrence made fish farmer developing country adopt strategy however little known determinant strategy used fish farmer therefore articulates novelty well ascertains determinant strategy used fish farmer epe lagos state nigeria result strategy mostly used fish farmer include frequent seeking early warning information 76 7 avoidance area susceptible flooding 60 0 strategy used fish farmer significantly influenced access early warning information beta 7 21 knowledge farmer strategy beta 8 86 access capital beta 28 25 participation workshop conference beta 37 19 reduced number fish stocking beta 2 06 conclusion strategy used fish farmer autonomous mostly determined access credit facility information development policy focus carbon capture storage technology order reduce adverse impact well making early warning information available fish farmer these enhance
3,Gaps in provincial decision-maker's perception and knowledge of climate change adaptation in China,WOS:000370900400005,perspective knowledge decision maker especially provincial level great impact progress china therefore identifying knowledge gap enhancing awareness decision maker level important based aim conducted survey awareness among 85 administrative management personnel governmental department responsible planning five province finding revealed half respondent knowledge measure extent understanding varied across different aspect region among different aspect understanding measure related human health protection lowest a large majority respondent indicated eagerness obtain knowledge information main barrier lack training learning material when making plan policy greatest obstacle expressed funding shortage information generated provide direction guidance training educating provincial decision maker order improve level planning policy making
4,Climate change adaptation at different levels of government: Characteristics and conditions of policy change,WOS:000467980500005,strategy aim minimize harm maximize benefit related impact mushroomed level government recent year while many study explored barrier stand way implementation factor determining potential mainstream various sector le clear in present aim address gap two international six national six local strategy based document analysis 35 semi structured interview 14 case study also explore far factor facilitating similar across level government level specific although located three different level government find 14 strategy analyzed represent one size fit governance arrangement characterized voluntariness lack institutionalization since strategy relatively weak coordination hub unable force onto sectoral policy agenda rely mainly sectoral self interest adapting largely determined problem pressure conclude one size fit governance arrangement rarely adequate response complex challenge although depends framework condition problem pressure administrative governance feature finding presented help understand circumstance likely make progress
5,Assessing South Africa's Potential to Address Climate Change Impacts and Adaptation in the Fisheries Sector,WOS:000665843100001,marine fishery sector one important income sector south africa play important role food security small scale subsistence fisher driven impact resulted distribution shift decline abundance important fishery target negative consequence user dependent resource sustainability sector depends readiness adapt inclusion impact fishery management document south africa essential ensure adequate response implemented short long term aim 1 determine relevant fishery national management document address 2 determine relevant national document address fishery sector 3 evaluate extent fishery management document address a content analysis fishery management document carried determine incorporated information impact marine fishery respectively fishery management document screened nine pre determined criterion theme based determine level inclusion best practice result indicate impact rarely incorporated main fishery management document except mitigation plan agriculture fishery forestry sector however document still waiting adopted direct reference identified fishery document support conservation sustainable management biodiversity with regard indirect reference equity participatory management capacity building frequently incorporated fishery management document there need explicitly incorporate information impact south african fishery management document increase human financial capacity national institution ensure fishery sector adequately adapt
6,Targeting climate change adaptation strategies to small-scale private forest owners,WOS:000455990500010,need receive extensive attention forestry sector while measure applied federal forest large private property remains unclear small scale private forest owner property 20 ha perceive possible influence whether approach required activity while past majority private forest owner tie agriculture cultivated farmland alongside forest recent study revealed new trend significant deviation established norm belief therefore aimed investigate motivation forest ownership current management practice perception adaptability discus successful approach information campaign advisory service monetary incentive applied questionnaire embedded choice experiment obtained thorough understanding salient factor influencing decision making surveying 919 forest owner across austria result show small scale private forest owner homogenous three distinct segment identified utility oriented recreation oriented tradition conscious forest owner reacted differently provided management option incentive however even worst case scenario setting 84 forest owner would select sort management procedure indicating forest management generally rejected information campaign rather focus soft management leading attractive stable highly diverse forest stand resilient cost efficiency financial benefit therefore advisory service need convey forest measure performed special care consideration remaining forest stand treated individually adequate equipment increasing monetary incentive funding barely influence forest owner decision making therefore deemed unfeasible unable motivate owner undertake measure show segmentation based management behavior preference rather predefined characteristic potential define new state art overall tailored forest management highly supported presented finding
7,Climate change vulnerability and adaptation in Vietnam from a gender perspective: a case study of Northern province of Vietnam,WOS:000556878000001,purpose analysis vulnerability northern province vietnam gender perspective design methodology approach a survey questionnaire used collect data livelihood vulnerability index lvi calculated 134 female 239 male headed household descriptive statistic synthesized investigate gender perspective finding result show lvi female headed household higher male headed household variation negligible in addition female male farmer area use different method adapt female farmer critically contributed family workforce nevertheless female farmer le accessibility agricultural service training credit limitation implication suggests gendered intervention improvement livelihood adapt developed aspect livelihood furthermore enhancement service woman recognition woman role responding would contribute active originality value study gender perspective vietnam conducted limited scale particularly limited study association gender issue north vietnam thus provide insight gender dimension vulnerability gender based strategy developed
8,The effects on public health of climate change adaptation responses: a systematic review of evidence from low- and middle-income countries,WOS:000672919700001,response developed delivered many part world absence detailed knowledge effect public health here present result systematic peer reviewed literature reporting effect health response low middle income country lmics used global mapping initiative database comprising 1682 publication related response constructed systematic literature search scopus web science google scholar 2013 2020 for screening performed identify study lmics reporting effect human health response study categorised design data extracted geographic region population investigation type response reported health effect identified 99 study 1117 reported outcome reporting evidence 66 lmics only two study ex ante formal evaluation response paper reported response related flooding rainfall drought extreme heat predominantly behaviour infrastructural technological improvement reported direct intermediate health outcome included reduction infectious disease incidence improved access water sanitation improved food security all cause mortality rarely reported paper identified reporting maternal child health reported maladaptations predominantly related widening inequality unforeseen co harm reporting publication bias seems likely 3 5 1117 health outcome reported negative our identified evidence response may benefit human health overall paucity evidence concerning represents major missed opportunity learning there urgent need greater focus funding design evaluation standardised reporting effect health response enable evidence based policy action
9,"Vanishing Springs in Nepalese Mountains Assessment of Water Sources, Farmers' Perceptions, and Climate Change Adaptation",WOS:000395382000005,thulokhola watershed nuwakot district midhills region nepal considered typical related stress region to ass status water resource document farmer perception impact watershed invited community group monitor water quality conducted 6 focus group meeting 3 participatory rural appraisal spring household survey 2011 2012 historical precipitation data nearby weather station discharge data tadi khola nearest major river also analyzed spring survey result confirmed farmer perception showed 73 2 spring used water source decreased flow 12 2 dried past 10 year recognized local resident in response severe decline precipitation drying spring local community implemented measure constructing water tank water source using pipe transport drinking water diverting water spring digging deeper well traveling farther wash clothes fetch drinking water to enhance drinking water supply ensure agricultural ecological environmental integrity watershed initiative comprehensive spring groundwater hydrology spring rejuvenation program community capacity building water sustainability suggested
