,Topic,Count,Name,-1,0,1,2
0,-1.0,61.0,-1_community_local_vulnerability_level,"('community', 0.03489412312795326)","('livelihood', 0.06484085433719698)","('water', 0.10643784387030035)","('risk', 0.0725973952603537)"
1,0.0,18.0,0_livelihood_rural_community_policy,"('local', 0.02890160334273242)","('rural', 0.06050888077027518)","('model', 0.05090606131120017)","('disaster', 0.07001916671090448)"
2,1.0,18.0,1_water_model_river_management,"('vulnerability', 0.024412901981132527)","('community', 0.0603952113244434)","('river', 0.04269318790177145)","('resilience', 0.05977871703321343)"
3,2.0,17.0,2_risk_disaster_resilience_social,"('level', 0.023923460806148853)","('policy', 0.05666860599678727)","('management', 0.04116648929145662)","('social', 0.04939848123835169)"
4,,,,"('social', 0.021929839072303114)","('forest', 0.0491497277119363)","('basin', 0.03510663900460106)","('community', 0.04382844653037939)"
5,,,,"('process', 0.020777099537548287)","('instrument', 0.040453885498343375)","('policy', 0.034750844743091876)","('vulnerability', 0.03746534873350991)"
6,,,,"('impact', 0.02071778654156264)","('local', 0.0400491364795314)","('restoration', 0.03441530102963899)","('development', 0.03630840679411723)"
7,,,,"('capacity', 0.02037743718584182)","('napa', 0.03891721370458564)","('catchment', 0.03097139490211734)","('reduction', 0.034646109925152685)"
8,,,,"('framework', 0.019956039286977336)","('household', 0.036639234451183944)","('resource', 0.030521518592413383)","('cca', 0.030634797722042514)"
9,,,,"('planning', 0.01974134822430513)","('based', 0.03652941320776852)","('capacity', 0.02816710334388388)","('flood', 0.0303153461845086)"
