,Topic,Count,Name,-1,0,1
0,-1.0,51.0,-1_model_development_policy_region,"('model', 0.025829942054445235)","('approach', 0.03552138346937771)","('risk', 0.07314478150157364)"
1,0.0,35.0,0_approach_based_social_service,"('development', 0.02469958035054217)","('based', 0.03407856952520932)","('disaster', 0.054871204232649635)"
2,1.0,31.0,1_risk_disaster_resilience_policy,"('policy', 0.02456490857158058)","('social', 0.03183501425418032)","('resilience', 0.05037172460583006)"
3,,,,"('region', 0.023915793818525915)","('service', 0.028674885376238312)","('policy', 0.03943065101888089)"
4,,,,"('impact', 0.023247716740797647)","('planning', 0.02794859856742953)","('community', 0.03592550842574929)"
5,,,,"('data', 0.021616507026423582)","('practice', 0.026730437999062894)","('development', 0.0329703293171865)"
6,,,,"('national', 0.01986523428887919)","('action', 0.026613879908532895)","('local', 0.031228898014619488)"
7,,,,"('future', 0.019330178295012997)","('process', 0.026387669172577316)","('reduction', 0.029005528625507523)"
8,,,,"('energy', 0.018767685618856465)","('decision', 0.024953507786437838)","('migration', 0.02589032237606978)"
9,,,,"('also', 0.01867650370861078)","('analysis', 0.024781099493072733)","('vulnerability', 0.02549052549838714)"
