,Topic,Count,Name,-1,0,1,2,3,4,5
0,-1.0,170.0,-1_decision_social_risk_approach,"('decision', 0.022757304646848074)","('resilience', 0.083164927859984)","('policy', 0.09789702638195409)","('stakeholder', 0.04111593929791374)","('science', 0.10284483906745706)","('knowledge', 0.05885502206294758)","('learning', 0.1500405844827053)"
1,0.0,33.0,0_resilience_vulnerability_community_strategy,"('social', 0.0222250452672467)","('vulnerability', 0.04893350454053934)","('mainstreaming', 0.03927484669993362)","('conservation', 0.035694257007134064)","('decision', 0.05355116846408062)","('narrative', 0.05348417636502388)","('social', 0.0691546200953019)"
2,1.0,29.0,1_policy_mainstreaming_development_country,"('risk', 0.02095005818913884)","('community', 0.038331321040779055)","('development', 0.03765489705259124)","('project', 0.02904428345647975)","('knowledge', 0.04577562987029006)","('practice', 0.03958119321710311)","('process', 0.04681531699860007)"
3,2.0,27.0,2_stakeholder_conservation_project_model,"('approach', 0.020354602942698245)","('strategy', 0.026985605337814918)","('country', 0.03722888286828948)","('model', 0.02867837450127383)","('practice', 0.040689788454444216)","('local', 0.03518427485265671)","('community', 0.032909920351203305)"
4,3.0,21.0,3_science_decision_knowledge_practice,"('policy', 0.01998875753908558)","('risk', 0.026619329054168465)","('actor', 0.03413840942074744)","('ecosystem', 0.027424685334218112)","('information', 0.038624691309833814)","('community', 0.03488247314703731)","('approach', 0.030993538266097267)"
5,4.0,20.0,4_knowledge_narrative_practice_local,"('action', 0.019642247558506024)","('local', 0.025501102618704665)","('government', 0.033967916086537424)","('based', 0.026605050041313947)","('network', 0.03588840491313083)","('social', 0.029773534145089167)","('network', 0.028640416467654813)"
6,5.0,16.0,5_learning_social_process_community,"('impact', 0.019318743868795462)","('social', 0.025268861457588086)","('governance', 0.03183120260093207)","('approach', 0.024993415186957666)","('resource', 0.03400780276008468)","('policy', 0.02600413774988797)","('knowledge', 0.027554680776711714)"
7,,,,"('local', 0.01833981555870799)","('disaster', 0.024152910336595737)","('aid', 0.027597992798072467)","('impact', 0.024404818847741514)","('scientist', 0.03322229122011977)","('service', 0.025562493066898527)","('education', 0.027107224831755816)"
8,,,,"('level', 0.018309893553415515)","('approach', 0.022581229618771972)","('effective', 0.02489256827917428)","('scenario', 0.024400300672380592)","('maker', 0.03215484649089888)","('frame', 0.02553469187744956)","('policy', 0.025701910483061186)"
9,,,,"('knowledge', 0.01709083481159166)","('indicator', 0.020140796992299828)","('framework', 0.023655831406414946)","('process', 0.024235988522368506)","('service', 0.03154857956911804)","('literature', 0.02536606280973894)","('development', 0.02512130957269196)"
