,Topic,Count,Name,-1,0,1
0,-1.0,11.0,-1_uncertainty_health_policy_litigation,"('uncertainty', 0.0731374926426676)","('country', 0.030892829570590783)","('policy', 0.0847292110781257)"
1,0.0,79.0,0_country_risk_impact_development,"('health', 0.05772160773472308)","('risk', 0.03006213878657087)","('governance', 0.06680877779229008)"
2,1.0,19.0,1_policy_governance_level_local,"('policy', 0.05579940050171337)","('impact', 0.02637340625722074)","('level', 0.05253813387816068)"
3,,,,"('litigation', 0.05092293801654921)","('development', 0.02629196238709778)","('local', 0.04017049253001864)"
4,,,,"('human', 0.039961113047115984)","('vulnerability', 0.025182479595575045)","('government', 0.03901711282555733)"
5,,,,"('robusticity', 0.03771425630302348)","('planning', 0.024317626839672406)","('region', 0.03491460203440564)"
6,,,,"('international', 0.03672908667238121)","('approach', 0.024049711029256692)","('regional', 0.03279049399877575)"
7,,,,"('modern', 0.033092982777772034)","('capacity', 0.022532745201194294)","('new', 0.029984102982837005)"
8,,,,"('conflict', 0.032326505402591556)","('action', 0.0225139058197818)","('service', 0.027638292468513265)"
9,,,,"('address', 0.03108086570331243)","('management', 0.02218592192182544)","('system', 0.026571999987322417)"
