,Topic,Count,Name,-1,0,1,2
0,-1.0,27.0,-1_health_policy_environmental_local,"('health', 0.042180859036689985)","('management', 0.06336805955765598)","('policy', 0.07258172272140417)","('indigenous', 0.06701738325179435)"
1,0.0,14.0,0_management_forest_manager_strategy,"('policy', 0.032458907055534794)","('forest', 0.0563072828910734)","('barrier', 0.07202345711928405)","('knowledge', 0.04227908654403274)"
2,1.0,13.0,1_policy_barrier_institutional_planning,"('environmental', 0.031291147099010236)","('manager', 0.03894317813231439)","('institutional', 0.046366528868525735)","('itk', 0.03899085672999931)"
3,2.0,12.0,2_indigenous_knowledge_itk_eba,"('local', 0.031097644782010287)","('strategy', 0.038526497840863164)","('planning', 0.04180071325878238)","('eba', 0.036092080153596974)"
4,,,,"('system', 0.0270398249790045)","('assessment', 0.03848626590240653)","('institution', 0.041649217640362925)","('production', 0.036092080153596974)"
5,,,,"('based', 0.026631389089027346)","('ecosystem', 0.03424577585854503)","('information', 0.039626295436955984)","('co', 0.03431506797141881)"
6,,,,"('approach', 0.026352639500610852)","('adaptive', 0.03407587114236604)","('leadership', 0.03738151624845806)","('approach', 0.03267152853617967)"
7,,,,"('practice', 0.02556415699193332)","('vulnerability', 0.03087335832513985)","('plan', 0.03725556749430317)","('community', 0.03267152853617967)"
8,,,,"('community', 0.02520687256580168)","('impact', 0.028840938218698917)","('water', 0.034707681366969105)","('conservation', 0.03248287213823728)"
9,,,,"('area', 0.02411289878729748)","('ecological', 0.027541024934715882)","('key', 0.03468713013264254)","('participatory', 0.03248287213823728)"
