,Topic,Count,Name,-1,0,1,2
0,-1.0,52.0,-1_farmer_water_drought_region,"('farmer', 0.04255824996393305)","('livelihood', 0.047366104710688355)","('drought', 0.13643731184765695)","('farmer', 0.06712486738868409)"
1,0.0,32.0,0_livelihood_household_drought_community,"('water', 0.041425110759179366)","('household', 0.039400304667303536)","('rice', 0.050542288482112924)","('crop', 0.05864240106951927)"
2,1.0,22.0,1_drought_rice_water_crop,"('drought', 0.03480195878584829)","('drought', 0.0384683278395407)","('water', 0.041381223527173355)","('rainfall', 0.04371841678641875)"
3,2.0,14.0,2_farmer_crop_rainfall_strategy,"('region', 0.027667894025154467)","('community', 0.03260715884587229)","('crop', 0.03002658702356725)","('strategy', 0.03934085253767331)"
4,,,,"('risk', 0.021976740781157734)","('policy', 0.0312870805043485)","('yield', 0.029600511900030168)","('community', 0.037599535769820294)"
5,,,,"('impact', 0.0218741330810592)","('vulnerability', 0.03115667653457052)","('index', 0.02783431459137877)","('impact', 0.03469805641582738)"
6,,,,"('system', 0.021213934771079704)","('development', 0.027746239449537694)","('future', 0.027002417085580897)","('production', 0.034220997568710665)"
7,,,,"('rainfall', 0.021099577855369575)","('rural', 0.027389072149997088)","('agricultural', 0.024218600645479232)","('food', 0.032432702272633)"
8,,,,"('soil', 0.021028682020259745)","('social', 0.02593123425672212)","('spatial', 0.02283115749145379)","('temperature', 0.03085638296041648)"
9,,,,"('use', 0.021028682020259745)","('food', 0.02484562275345322)","('availability', 0.02283115749145379)","('information', 0.029847327362444893)"
