,Topic,Count,Name,-1,0,1,2
0,-1.0,84.0,-1_policy_new_urban_management,"('policy', 0.027932161675374365)","('city', 0.0615901523169456)","('disaster', 0.06115753604024545)","('community', 0.03284409147766769)"
1,0.0,21.0,0_city_action_policy_local,"('new', 0.021765750099969672)","('action', 0.05574972927426041)","('risk', 0.059694622060978995)","('challenge', 0.029739129736912766)"
2,1.0,19.0,1_disaster_risk_data_resilience,"('urban', 0.021451283964601917)","('policy', 0.04895233173676011)","('data', 0.04865187243724862)","('conference', 0.02945366022517268)"
3,2.0,18.0,2_community_challenge_conference_knowledge,"('management', 0.021003966783909273)","('local', 0.04753208890014531)","('resilience', 0.04460460202299642)","('knowledge', 0.02835631831855111)"
4,,,,"('in', 0.019916547607628933)","('european', 0.046011259425622515)","('level', 0.03263530241683441)","('science', 0.02835631831855111)"
5,,,,"('local', 0.01947204160741014)","('mayor', 0.04146131545232588)","('reduction', 0.030893900047192457)","('sustainability', 0.027747563225981948)"
6,,,,"('development', 0.01898071965918828)","('national', 0.03792344850044857)","('strategy', 0.027606823534801428)","('development', 0.027223560915328567)"
7,,,,"('risk', 0.018774643130375353)","('trigger', 0.036369819598746245)","('term', 0.02671591374320338)","('approach', 0.026152095009824846)"
8,,,,"('analysis', 0.018033314583849026)","('energy', 0.036169018556661325)","('flood', 0.026416782239623023)","('university', 0.025768266158351986)"
9,,,,"('design', 0.017885708157138448)","('com', 0.034473080526042206)","('community', 0.026302459976605064)","('solution', 0.023861851162185914)"
