,Topic,Count,Name,-1,0,1,2
0,-1.0,18.0,-1_vulnerability_result_impact_forecast,"('vulnerability', 0.056629941045917835)","('community', 0.041098093186768735)","('land', 0.0618660279527371)","('farmer', 0.06887839077928243)"
1,0.0,71.0,0_community_farmer_social_capacity,"('result', 0.0415877587715362)","('farmer', 0.029332679838010054)","('model', 0.05488458899200742)","('strategy', 0.06772368908280697)"
2,1.0,27.0,1_land_model_ecosystem_use,"('impact', 0.03709749547928542)","('social', 0.027984089113646325)","('ecosystem', 0.043810982846546186)","('household', 0.04969026741291895)"
3,2.0,22.0,2_farmer_strategy_household_perception,"('forecast', 0.03414411272590524)","('capacity', 0.02767980005797187)","('use', 0.04107327757568668)","('perception', 0.04879539769874121)"
4,,,,"('adaptive', 0.03351324061052317)","('knowledge', 0.026708579003306195)","('soil', 0.03275319651286114)","('risk', 0.04673791924703891)"
5,,,,"('environmental', 0.029771049273484534)","('agriculture', 0.02644828842560031)","('landscape', 0.03114498287143944)","('decision', 0.03802365512716586)"
6,,,,"('policy', 0.025338580707418224)","('policy', 0.02541263477247032)","('scenario', 0.02934801119899248)","('service', 0.03658107573585443)"
7,,,,"('data', 0.025150369472563324)","('system', 0.025272708038003463)","('grassland', 0.02821547749988996)","('climatic', 0.03606616351646089)"
8,,,,"('strategy', 0.025088921137214202)","('food', 0.024776607634728137)","('impact', 0.027924234013055254)","('farm', 0.029175016510920432)"
9,,,,"('industry', 0.02463860348516284)","('institution', 0.02456847112799684)","('crop', 0.027781509865106673)","('impact', 0.02861114030428549)"
