,Topic,Count,Name,-1,0,1
0,-1.0,32.0,-1_community_planning_natural_knowledge,"('community', 0.02805591665740612)","('forest', 0.13483668528851306)","('local', 0.04657445085972856)"
1,0.0,21.0,0_forest_management_carbon_model,"('planning', 0.025153326253828337)","('management', 0.06607903795140191)","('social', 0.04622453967872843)"
2,1.0,17.0,1_local_social_tourism_indigenous,"('natural', 0.024892662206139515)","('carbon', 0.042658609162334805)","('tourism', 0.04514600900993114)"
3,,,,"('knowledge', 0.023820097582459843)","('model', 0.03968659169313963)","('indigenous', 0.03889673534571016)"
4,,,,"('impact', 0.02345424719977318)","('forestry', 0.03584930291227142)","('region', 0.0359933068630577)"
5,,,,"('risk', 0.023345344491247377)","('mitigation', 0.02773731025646622)","('heritage', 0.032725474850814236)"
6,,,,"('based', 0.02304593154001217)","('global', 0.027376938103099234)","('mountain', 0.03195518666279414)"
7,,,,"('disaster', 0.022455918591338286)","('result', 0.027103884256466496)","('stakeholder', 0.030097285448078968)"
8,,,,"('local', 0.022370161308192818)","('future', 0.02678968262654912)","('capacity', 0.029585510573981094)"
9,,,,"('resilience', 0.021795669569501727)","('reference', 0.02634662347162844)","('governance', 0.028436481017461827)"
