,Topic,Count,Name,-1,0,1,2,3,4,5
0,-1.0,166.0,-1_farmer_agricultural_crop_farm,"('farmer', 0.05613614948661785)","('system', 0.03378863279072725)","('strategy', 0.05673873580422277)","('farmer', 0.08360083173392685)","('knowledge', 0.051774588666388836)","('csa', 0.10105106944003048)","('vulnerability', 0.10736027569458684)"
1,0.0,64.0,0_system_farm_model_impact,"('agricultural', 0.028814911785693557)","('farm', 0.03281088593172434)","('farmer', 0.055430805072308284)","('perception', 0.05772767270134246)","('community', 0.04067714006152245)","('practice', 0.06258464809879956)","('household', 0.04728843963688056)"
2,1.0,59.0,1_strategy_farmer_household_smallholder,"('crop', 0.025513632912611044)","('model', 0.028336453175626154)","('household', 0.044337201100680824)","('risk', 0.05486244150831977)","('farmer', 0.040602193495036736)","('farmer', 0.0593869096494916)","('data', 0.03593699352032058)"
3,2.0,48.0,2_farmer_perception_risk_behavior,"('farm', 0.021654653143254213)","('impact', 0.027212071407824254)","('smallholder', 0.038287955457722594)","('behavior', 0.04184665827244186)","('indigenous', 0.031317040290885396)","('adoption', 0.04177923061483764)","('farmer', 0.03525642783676665)"
4,3.0,38.0,3_knowledge_community_farmer_indigenous,"('system', 0.020946623497125467)","('livestock', 0.025247062768430847)","('farm', 0.035345649602614646)","('factor', 0.029833573394817323)","('resilience', 0.027492745209872282)","('agricultural', 0.037900570520185466)","('agricultural', 0.03452883153900595)"
5,4.0,19.0,4_csa_practice_farmer_adoption,"('practice', 0.02048627200920102)","('agricultural', 0.024511166143674993)","('crop', 0.02935128064102374)","('weather', 0.028181199237077317)","('local', 0.02746132446538753)","('implementation', 0.03729830373739058)","('strategy', 0.03289169403145305)"
6,5.0,15.0,5_vulnerability_household_data_farmer,"('food', 0.02002044256393948)","('crop', 0.02293823505309039)","('access', 0.02835361335279125)","('social', 0.025680317465129037)","('livelihood', 0.026704510916241323)","('sustainable', 0.027175409906802363)","('climatic', 0.027966688902386305)"
7,,,,"('information', 0.019590675256207134)","('management', 0.022818617872038267)","('impact', 0.027989962079807737)","('result', 0.02321156678439574)","('adapt', 0.024144780018289718)","('smart', 0.025580762509448938)","('capital', 0.02657871404044091)"
8,,,,"('strategy', 0.018717576065742522)","('production', 0.021634102967530402)","('factor', 0.02693781511525567)","('belief', 0.022396522328707546)","('farming', 0.023360984150499368)","('participation', 0.02538088421188499)","('result', 0.02650522388937521)"
9,,,,"('use', 0.01833931175277895)","('change', 0.019896989947222693)","('adoption', 0.02688384879610203)","('perceived', 0.021753116193859178)","('response', 0.02189116739629144)","('emission', 0.024212942674944542)","('access', 0.02649460668021309)"
