,Topic,Count,Name,-1,0,1
0,-1.0,8.0,-1_system_planning_approach_vulnerability,"('system', 0.06875283084197882)","('process', 0.059622917023155794)","('risk', 0.06347862814392795)"
1,0.0,14.0,0_process_decision_development_planning,"('planning', 0.06581262565864604)","('decision', 0.0557821844186157)","('vulnerability', 0.058188742465267285)"
2,1.0,11.0,1_risk_vulnerability_resilience_disaster,"('approach', 0.05580412738264076)","('development', 0.050117020412478966)","('resilience', 0.05615417884179152)"
3,,,,"('vulnerability', 0.05497908416133048)","('planning', 0.03988408383093375)","('disaster', 0.05377568416273137)"
4,,,,"('climigration', 0.048999634733749894)","('three', 0.036199628192630305)","('community', 0.04880189216672765)"
5,,,,"('challenge', 0.042823113129661396)","('assessment', 0.03540752336161242)","('development', 0.04233068127634797)"
6,,,,"('socio', 0.036592090507899626)","('policy', 0.03206137061428699)","('local', 0.039544781903938044)"
7,,,,"('impact', 0.03585054515770246)","('making', 0.03183670273778355)","('social', 0.03525130809352904)"
8,,,,"('transdisciplinary', 0.03530179576462578)","('maker', 0.030618910660008564)","('three', 0.03438425691129431)"
9,,,,"('spatial', 0.03429918738130587)","('stakeholder', 0.029627060260958103)","('analysis', 0.03356998928645464)"
