,Topic,Count,Name,-1,0,1
0,-1.0,28.0,-1_approach_social_learning_process,"('approach', 0.04239002084298031)","('governance', 0.06343447034797839)","('risk', 0.04707307055739889)"
1,0.0,19.0,0_governance_local_policy_level,"('social', 0.04054798439114826)","('local', 0.05617330526649854)","('vulnerability', 0.04495153840263148)"
2,1.0,18.0,1_risk_vulnerability_community_local,"('learning', 0.03968543812370812)","('policy', 0.05583882757946382)","('community', 0.040117051999921396)"
3,,,,"('process', 0.03915335354410203)","('level', 0.053916128400970854)","('local', 0.039687857594266726)"
4,,,,"('policy', 0.03728242497559583)","('process', 0.04437694607236491)","('health', 0.03692607753059557)"
5,,,,"('vulnerability', 0.037240551540282225)","('tool', 0.04176718010346152)","('result', 0.03249201027783123)"
6,,,,"('community', 0.03469011989462624)","('regional', 0.040696633556714185)","('assessment', 0.02931794609348789)"
7,,,,"('adaptive', 0.034035068716009934)","('stakeholder', 0.03775939278573272)","('analysis', 0.028840946353194515)"
8,,,,"('institutional', 0.027275918672539545)","('planning', 0.03755354308503268)","('resilience', 0.02856041929046109)"
9,,,,"('value', 0.02660251630813864)","('actor', 0.037151455730956066)","('social', 0.027583130861480933)"
