,Topic,Count,Name,-1,0,1
0,-1.0,44.0,-1_community_social_impact_disaster,"('community', 0.043616943083978156)","('local', 0.05734674057088644)","('vulnerability', 0.12502424850191984)"
1,0.0,21.0,0_local_policy_household_action,"('social', 0.03355610179838633)","('policy', 0.05120192004632189)","('community', 0.047827352440790116)"
2,1.0,17.0,1_vulnerability_community_local_social,"('impact', 0.02472960030553197)","('household', 0.03518710419352185)","('local', 0.04480694547566193)"
3,,,,"('disaster', 0.023916506280444613)","('action', 0.03426568471885526)","('social', 0.04263182246260645)"
4,,,,"('may', 0.022267092054207054)","('institution', 0.03316208902052954)","('framework', 0.03954417845938729)"
5,,,,"('health', 0.02174451396655402)","('development', 0.027765327257824383)","('approach', 0.03844279523791935)"
6,,,,"('strategy', 0.021348970118411185)","('adaptive', 0.02757342668426621)","('region', 0.03710819411867041)"
7,,,,"('sids', 0.020447945345531845)","('level', 0.027103251658966803)","('rural', 0.03557814039925421)"
8,,,,"('rural', 0.01897686232747661)","('need', 0.02626146849537239)","('risk', 0.030058874547991474)"
9,,,,"('risk', 0.018657410122264233)","('community', 0.02574114673808547)","('factor', 0.03002623790827811)"
