,Topic,Count,Name,-1,0,1
0,-1.0,30.0,-1_water_impact_flood_environmental,"('water', 0.06591895137867763)","('water', 0.14089391767004786)","('ecosystem', 0.049892269396099684)"
1,0.0,22.0,0_water_resource_market_demand,"('impact', 0.040828152391640574)","('resource', 0.038579310220995915)","('water', 0.038161987491943494)"
2,1.0,16.0,1_ecosystem_water_fire_river,"('flood', 0.035378826727265035)","('market', 0.03591981267338476)","('fire', 0.036567202314080706)"
3,,,,"('environmental', 0.030032961604209887)","('demand', 0.03445617747824672)","('river', 0.03343127475615967)"
4,,,,"('management', 0.02775252884626317)","('in', 0.03430313061253441)","('soil', 0.032701971935152854)"
5,,,,"('change', 0.026956281806740874)","('impact', 0.0292854035513938)","('impact', 0.029739692359947275)"
6,,,,"('effect', 0.025188457901371634)","('scenario', 0.02733812643577937)","('strategy', 0.029036135765475354)"
7,,,,"('land', 0.02502224286560387)","('region', 0.027275479994668474)","('tree', 0.028352321807323843)"
8,,,,"('condition', 0.023436508699636795)","('system', 0.025344972573662698)","('economic', 0.025668500136976354)"
9,,,,"('risk', 0.02321566298846675)","('policy', 0.025039857412639772)","('freshwater', 0.024378134876053805)"
