,Topic,Count,Name,-1,0,1
0,-1.0,16.0,-1_flood_urban_city_community,"('flood', 0.09231228571987109)","('flood', 0.0963058048740807)","('vulnerability', 0.08491626442848345)"
1,0.0,14.0,0_flood_urban_risk_water,"('urban', 0.044444854134158086)","('urban', 0.07594690105806201)","('local', 0.054285811613808445)"
2,1.0,10.0,1_vulnerability_local_event_disaster,"('city', 0.04074201010378584)","('risk', 0.06498350843857424)","('event', 0.05087289642120287)"
3,,,,"('community', 0.03821200968320777)","('water', 0.040533254808054676)","('disaster', 0.04757129524220105)"
4,,,,"('flooding', 0.036469500573365066)","('flooding', 0.039759330892149336)","('extreme', 0.03942540848465303)"
5,,,,"('risk', 0.035905843591915385)","('infrastructure', 0.03615627364450247)","('risk', 0.03904513901279166)"
6,,,,"('governance', 0.03293622235909951)","('area', 0.0361448462655903)","('knowledge', 0.037274283245224214)"
7,,,,"('extreme', 0.02910143578841846)","('pluvial', 0.027200919865736042)","('strategy', 0.03601582231781278)"
8,,,,"('disaster', 0.028530314605399395)","('high', 0.02610971482909434)","('area', 0.03420509164540886)"
9,,,,"('impact', 0.027945123889134355)","('model', 0.02564808837374557)","('household', 0.03267604037162407)"
