,Topic,Count,Name,-1,0,1
0,-1.0,29.0,-1_policy_food_community_impact,"('policy', 0.03558893437933279)","('household', 0.09150539967183834)","('forest', 0.06913518872759347)"
1,0.0,14.0,0_household_woman_livelihood_vulnerability,"('food', 0.03514184110681347)","('woman', 0.06787669303771929)","('land', 0.04124706633399267)"
2,1.0,10.0,1_forest_land_ecosystem_use,"('community', 0.03141208680330511)","('livelihood', 0.0572955976702347)","('ecosystem', 0.040793060777794925)"
3,,,,"('impact', 0.03014517900916772)","('vulnerability', 0.04971983952013895)","('use', 0.03651973927921094)"
4,,,,"('social', 0.02786884934734635)","('gender', 0.03498453647757597)","('local', 0.03362550854065758)"
5,,,,"('strategy', 0.02735554154424344)","('farmer', 0.03448826008319776)","('system', 0.03230269855815022)"
6,,,,"('system', 0.025701603203998308)","('disaster', 0.034074958693088825)","('population', 0.03229221487375917)"
7,,,,"('household', 0.025453716458833042)","('strategy', 0.03278080257676099)","('strategy', 0.03192561143810944)"
8,,,,"('development', 0.025113063342462525)","('level', 0.032562924260330445)","('natural', 0.03151927876323903)"
9,,,,"('resilience', 0.024736404806154768)","('rural', 0.03253451517971081)","('challenge', 0.03014647697577165)"
