,Topic,Count,Name,-1,0,1,2
0,-1.0,59.0,-1_health_impact_water_area,"('health', 0.03177714904320845)","('food', 0.06934943560605784)","('energy', 0.06030086420756614)","('heat', 0.09401192056855677)"
1,0.0,17.0,0_food_impact_water_system,"('impact', 0.02265468664227988)","('impact', 0.04763640471287773)","('technology', 0.03921717022455565)","('temperature', 0.07111702792921462)"
2,1.0,14.0,1_energy_technology_emission_system,"('water', 0.0222593518323663)","('water', 0.04457194150023308)","('emission', 0.032511626740298845)","('urban', 0.0665710350271568)"
3,2.0,11.0,2_heat_temperature_urban_stress,"('area', 0.020677363685098708)","('system', 0.03626576172059193)","('system', 0.027927790069353225)","('stress', 0.050187105549591285)"
4,,,,"('risk', 0.02046734229062159)","('agriculture', 0.0351046487511904)","('superconducting', 0.027759265463022993)","('pm2', 0.04986838594360653)"
5,,,,"('city', 0.017384811356698705)","('household', 0.0318190658925544)","('environmental', 0.02736101930157008)","('cooling', 0.041556988286338775)"
6,,,,"('energy', 0.017160430111974018)","('use', 0.03078354475886507)","('power', 0.027067054002727426)","('high', 0.04001822673112154)"
7,,,,"('tourism', 0.01689342893088088)","('farmer', 0.030669150536871654)","('cc', 0.025988553131753807)","('uhi', 0.03928834587231002)"
8,,,,"('based', 0.01664972710709488)","('security', 0.030217901524894408)","('carbon', 0.02582515542651356)","('health', 0.03756364923785117)"
9,,,,"('need', 0.016146665020739952)","('farming', 0.029608136708158934)","('global', 0.024824702283869536)","('hvi', 0.035610106912254)"
