,Topic,Count,Name,-1,0,1
0,-1.0,41.0,-1_flood_urban_water_area,"('flood', 0.04176364564673716)","('water', 0.0897766284379711)","('flood', 0.12604435386109553)"
1,0.0,28.0,0_water_urban_city_system,"('urban', 0.041082672044732746)","('urban', 0.056389862758399106)","('risk', 0.08463856161428783)"
2,1.0,27.0,1_flood_risk_damage_insurance,"('water', 0.03266153866245461)","('city', 0.05426559789913917)","('damage', 0.0444219903390495)"
3,,,,"('area', 0.032580995588675006)","('system', 0.03869977613462662)","('insurance', 0.04367404909689072)"
4,,,,"('model', 0.030089760277070995)","('management', 0.03748546583939352)","('measure', 0.030666803067955266)"
5,,,,"('risk', 0.026762358127993564)","('impact', 0.032799782609469336)","('disaster', 0.02731013419614775)"
6,,,,"('result', 0.025551365677585983)","('infrastructure', 0.031168833315833498)","('cost', 0.026558397256323467)"
7,,,,"('community', 0.024352045159522193)","('extreme', 0.03037239902766727)","('increase', 0.025535109603098533)"
8,,,,"('vulnerability', 0.024123047178081985)","('stormwater', 0.02842653850995643)","('analysis', 0.0253334460126587)"
9,,,,"('flooding', 0.022244717494633172)","('green', 0.02842653850995643)","('flooding', 0.02520913826678699)"
