,Topic,Count,Name,-1,0,1
0,-1.0,70.0,-1_policy_assessment_approach_impact,"('policy', 0.04043401453396338)","('policy', 0.05395222948124965)","('risk', 0.14167113567450745)"
1,0.0,45.0,0_policy_decision_planning_institutional,"('assessment', 0.03647292899227767)","('decision', 0.03635943997552417)","('hazard', 0.06817071172985557)"
2,1.0,13.0,1_risk_hazard_disaster_data,"('approach', 0.032429913812221864)","('planning', 0.03612012265171509)","('disaster', 0.06544041694074225)"
3,,,,"('impact', 0.02872173030529303)","('institutional', 0.033650771203972196)","('data', 0.05786821600364349)"
4,,,,"('framework', 0.027713950294580996)","('development', 0.0316759129795476)","('natural', 0.056751045780625974)"
5,,,,"('decision', 0.027272193297724824)","('process', 0.030671833736714706)","('information', 0.047272478645801995)"
6,,,,"('uncertainty', 0.023418804723485412)","('actor', 0.030665440678977723)","('insurance', 0.04033572280319415)"
7,,,,"('risk', 0.022747933220049487)","('scenario', 0.02819388938711184)","('management', 0.03725758901226982)"
8,,,,"('level', 0.022171412212614552)","('approach', 0.02765815828526649)","('area', 0.035708468048971966)"
9,,,,"('model', 0.021834890831063193)","('support', 0.026733457419996692)","('damage', 0.030210920138425072)"
