,Topic,Count,Name,-1,0,1
0,-1.0,72.0,-1_community_social_impact_policy,"('community', 0.040006818810567085)","('intervention', 0.042511508385912646)","('vulnerability', 0.13769230007737085)"
1,0.0,28.0,0_intervention_development_local_african,"('social', 0.02863737965108094)","('development', 0.040284340930783806)","('framework', 0.04723117229941752)"
2,1.0,17.0,1_vulnerability_framework_local_social,"('impact', 0.026690593187612414)","('local', 0.039024720287567725)","('local', 0.04461028919647201)"
3,,,,"('policy', 0.025042287400806305)","('african', 0.034906077483284115)","('social', 0.04394813508947998)"
4,,,,"('local', 0.023255080753034063)","('policy', 0.03359802352276962)","('approach', 0.03848539260468819)"
5,,,,"('country', 0.021260976347840903)","('community', 0.03206358903885652)","('based', 0.035582844899232746)"
6,,,,"('vulnerability', 0.020945373630621825)","('country', 0.031015250023554236)","('rural', 0.03407114272906533)"
7,,,,"('health', 0.02063228456856233)","('process', 0.029621643969251425)","('region', 0.03156712865563675)"
8,,,,"('may', 0.019663392717400318)","('adaptive', 0.028913239754451037)","('community', 0.031450482750798835)"
9,,,,"('level', 0.0195781689149204)","('africa', 0.026912391655863337)","('people', 0.03113498928682865)"
