,Topic,Count,Name,-1,0,1,2
0,-1.0,73.0,-1_risk_policy_health_process,"('risk', 0.03648976974224468)","('vulnerability', 0.12822973067224985)","('governance', 0.08088767201318138)","('system', 0.06283317143557497)"
1,0.0,18.0,0_vulnerability_capacity_adaptive_community,"('policy', 0.03376397533531332)","('capacity', 0.052907353558007054)","('policy', 0.07094603212432501)","('impact', 0.05317761300235453)"
2,1.0,17.0,1_governance_policy_level_government,"('health', 0.03374020123384748)","('adaptive', 0.0474262706436846)","('level', 0.057307027049448865)","('planning', 0.046649316717190324)"
3,2.0,12.0,2_system_impact_planning_management,"('process', 0.03097710203047415)","('community', 0.04622892892138573)","('government', 0.04894204170005745)","('management', 0.040380035218664866)"
4,,,,"('approach', 0.02947592712273253)","('resilience', 0.04056376982023591)","('local', 0.04332396690125004)","('regional', 0.03959604492730373)"
5,,,,"('local', 0.02529182932613516)","('household', 0.03927601838919999)","('action', 0.03949132397551779)","('risk', 0.039340764776497034)"
6,,,,"('social', 0.023350760977862987)","('analysis', 0.034107464102925505)","('actor', 0.038117094011179416)","('strategic', 0.03792444973015983)"
7,,,,"('impact', 0.023054753745181022)","('assessment', 0.033860706277124515)","('instrument', 0.03385961354116475)","('environmental', 0.03706901183142195)"
8,,,,"('development', 0.022658182346529405)","('social', 0.033621039215553254)","('barrier', 0.03359956532037204)","('future', 0.03692740760920586)"
9,,,,"('framework', 0.022267280987924354)","('result', 0.03260492340420199)","('capacity', 0.032871842645147475)","('scenario', 0.036026078326299456)"
