,Topic,Count,Name,-1,0,1
0,-1.0,33.0,-1_farmer_strategy_local_risk,"('farmer', 0.041745192768297384)","('farm', 0.05991842286986736)","('farmer', 0.0696072850255262)"
1,0.0,30.0,0_farm_crop_impact_agricultural,"('strategy', 0.039441734891509594)","('crop', 0.043369684568067904)","('household', 0.05667252530621452)"
2,1.0,30.0,1_farmer_household_strategy_farm,"('local', 0.029716523677775036)","('impact', 0.04214576497196532)","('strategy', 0.04556107744719056)"
3,,,,"('risk', 0.029101953573680946)","('agricultural', 0.040885519306658125)","('farm', 0.04169078506643904)"
4,,,,"('impact', 0.0282759432391992)","('system', 0.03908169100000519)","('vulnerability', 0.0403573424438552)"
5,,,,"('community', 0.0269798681966592)","('model', 0.03735041494952224)","('crop', 0.035747307128745145)"
6,,,,"('resource', 0.026753141636350418)","('farmer', 0.03451554787291141)","('impact', 0.035029803927246195)"
7,,,,"('knowledge', 0.02659297793022392)","('change', 0.031216287952698343)","('access', 0.03441713888970717)"
8,,,,"('agriculture', 0.02547130600952146)","('region', 0.03066226575155906)","('model', 0.03205874966734551)"
9,,,,"('agricultural', 0.024780903416971565)","('effect', 0.029310717699594535)","('result', 0.02896091970055587)"
