,Topic,Count,Name,-1,0,1
0,-1.0,59.0,-1_community_household_impact_food,"('community', 0.040520002479525204)","('local', 0.04276973418621879)","('gender', 0.09810822451396985)"
1,0.0,48.0,0_local_government_country_policy,"('household', 0.03228761763140061)","('government', 0.03491618709152071)","('woman', 0.08076345061554892)"
2,1.0,26.0,1_gender_woman_vulnerability_household,"('impact', 0.03029962717374542)","('country', 0.034397562776293654)","('vulnerability', 0.06335648708344686)"
3,,,,"('food', 0.027259144815685813)","('policy', 0.030811246804268243)","('household', 0.05223033239698132)"
4,,,,"('rural', 0.02255791374191016)","('community', 0.03047915297087008)","('men', 0.04451057484582619)"
5,,,,"('local', 0.022132525155536924)","('based', 0.02572502472270145)","('livelihood', 0.03939686441312513)"
6,,,,"('capacity', 0.02177310733580393)","('level', 0.0245953806192186)","('capacity', 0.03881337847676279)"
7,,,,"('response', 0.020921311341359827)","('public', 0.024203552278187396)","('female', 0.0376305827334825)"
8,,,,"('policy', 0.02083717490899196)","('water', 0.022547250322478018)","('adaptive', 0.03703762798302709)"
9,,,,"('migration', 0.020768293643992422)","('action', 0.021364010634331656)","('strategy', 0.03543639327418635)"
