,Topic,Count,Name,-1,0,1
0,-1.0,23.0,-1_policy_ecosystem_national_impact,"('policy', 0.037867432097620196)","('project', 0.02980218654681372)","('risk', 0.08887376230403088)"
1,0.0,44.0,0_project_practice_based_social,"('ecosystem', 0.03617391974050475)","('practice', 0.028220519887046918)","('disaster', 0.059740972808735804)"
2,1.0,24.0,1_risk_disaster_policy_resilience,"('national', 0.03464663619169267)","('based', 0.02780990611373016)","('policy', 0.03836396716641438)"
3,,,,"('impact', 0.03043442455422107)","('social', 0.027199796469318065)","('resilience', 0.03243023310747575)"
4,,,,"('development', 0.029328692826213358)","('process', 0.02625547322059935)","('reduction', 0.03154385103179544)"
5,,,,"('barrier', 0.028354783858732545)","('literature', 0.02618234322252336)","('community', 0.0298358144588777)"
6,,,,"('resilience', 0.02747978037217226)","('approach', 0.025829904228719527)","('response', 0.029056471173337466)"
7,,,,"('social', 0.02742857567531667)","('knowledge', 0.02530959844843925)","('local', 0.028790084445299666)"
8,,,,"('migration', 0.0271171607638587)","('planning', 0.025057638258471803)","('country', 0.02852376824291434)"
9,,,,"('approach', 0.02686113497157985)","('community', 0.024956754706169964)","('vulnerability', 0.02827733821160506)"
