,Topic,Count,Name,-1,0,1,2
0,-1.0,36.0,-1_health_food_disease_risk,"('health', 0.041300894044993236)","('water', 0.0424256433063654)","('yield', 0.031616806970190356)","('city', 0.059330366672091496)"
1,0.0,70.0,0_water_risk_flood_impact,"('food', 0.033878799306326174)","('risk', 0.0328729981515447)","('emission', 0.03016940182548975)","('green', 0.04974681313720982)"
2,1.0,61.0,1_yield_emission_carbon_area,"('disease', 0.026024362255031182)","('flood', 0.031060151674997177)","('carbon', 0.02921777843617565)","('urban', 0.04852692230706085)"
3,2.0,20.0,2_city_green_urban_health,"('risk', 0.025723152038960615)","('impact', 0.02429474502593419)","('area', 0.026217423553374405)","('health', 0.042833238700900673)"
4,,,,"('level', 0.02547789016300161)","('in', 0.020261815433592914)","('increase', 0.02572407777589863)","('construction', 0.04254164986501899)"
5,,,,"('increase', 0.024897873962371513)","('analysis', 0.020037522962086846)","('co2', 0.02506767402411315)","('planning', 0.03395289346336982)"
6,,,,"('data', 0.02297373087670623)","('development', 0.019285190775549958)","('production', 0.02503342411199454)","('design', 0.031127306846341202)"
7,,,,"('energy', 0.022819075094335495)","('management', 0.019236061608842416)","('land', 0.024757635905809813)","('energy', 0.028013185976549553)"
8,,,,"('change', 0.022663396976842123)","('resilience', 0.01891730535684036)","('rice', 0.022304170150390053)","('in', 0.02735687762673359)"
9,,,,"('china', 0.021553040769893315)","('year', 0.018691426161856484)","('use', 0.0222358447422852)","('service', 0.026322416525575352)"
