,Topic,Count,Name,-1,0,1,2,3
0,-1.0,69.0,-1_soil_land_model_use,"('soil', 0.03999906201287897)","('production', 0.0459034117550338)","('grassland', 0.11193610664935917)","('water', 0.09614636745283707)","('crop', 0.13454984218590332)"
1,0.0,22.0,0_production_farmer_agricultural_practice,"('land', 0.035832744512425706)","('farmer', 0.04301539850593927)","('vegetation', 0.05042623474515079)","('irrigation', 0.06578553666507567)","('yield', 0.06116193472106123)"
2,1.0,17.0,1_grassland_vegetation_carbon_management,"('model', 0.03565159299679586)","('agricultural', 0.04190305734408593)","('carbon', 0.03809036177347537)","('model', 0.04903896738288706)","('rotation', 0.04631941463519441)"
3,2.0,15.0,2_water_irrigation_model_drought,"('use', 0.02971045396711552)","('practice', 0.04004881929863312)","('management', 0.036134679490894606)","('drought', 0.04604528521260444)","('maize', 0.04156313425339142)"
4,3.0,14.0,3_crop_yield_rotation_maize,"('drought', 0.028482227011918073)","('agriculture', 0.03250045014681921)","('soc', 0.03258119083101523)","('scenario', 0.04504352969047819)","('stress', 0.0402453222098628)"
5,,,,"('water', 0.02526050302182775)","('food', 0.030708339946582914)","('china', 0.03176156913728615)","('production', 0.04283646725352517)","('production', 0.03913544944908613)"
6,,,,"('impact', 0.02286244322792392)","('strategy', 0.027844207883178724)","('ecosystem', 0.03006742195087072)","('agricultural', 0.03921511247609954)","('system', 0.03634369007109863)"
7,,,,"('data', 0.022841994034183376)","('system', 0.02514009352387828)","('cover', 0.029110583095475186)","('increase', 0.03598380008704174)","('quality', 0.0322507874168518)"
8,,,,"('agricultural', 0.019194580596916744)","('policy', 0.024796371951559575)","('land', 0.02724387372384257)","('future', 0.03314563405917655)","('resilience', 0.027138520481488907)"
9,,,,"('strategy', 0.019173623212707536)","('learning', 0.024143037338460033)","('human', 0.026921227387344104)","('result', 0.029887281673968303)","('soil', 0.026957032759323672)"
