,Topic,Count,Name,-1,0,1,2
0,-1.0,20.0,-1_environmental_social_global_household,"('environmental', 0.05202852367421006)","('vulnerability', 0.03553748285842415)","('gender', 0.15253426367082618)","('indigenous', 0.16501907855543735)"
1,0.0,106.0,0_vulnerability_community_local_policy,"('social', 0.0491137744727933)","('community', 0.03462919912075779)","('woman', 0.08422653576385573)","('people', 0.06487852207195827)"
2,1.0,21.0,1_gender_woman_inequality_policy,"('global', 0.03941757459408437)","('local', 0.03208778433638736)","('inequality', 0.05108129243600575)","('cultural', 0.05839778383515406)"
3,2.0,11.0,2_indigenous_people_cultural_knowledge,"('household', 0.03414777810345123)","('policy', 0.027159840209835962)","('policy', 0.038482388897133554)","('knowledge', 0.04909755544140713)"
4,,,,"('concern', 0.03243898323762339)","('country', 0.02484391856366088)","('resilience', 0.03615199617046267)","('perception', 0.04441448663384364)"
5,,,,"('company', 0.03157444750100509)","('development', 0.022172771996202288)","('social', 0.03219729889680569)","('justice', 0.04121260219107707)"
6,,,,"('related', 0.03139087982448711)","('social', 0.022087720117567017)","('group', 0.0320765711777339)","('community', 0.04113958185493885)"
7,,,,"('behavior', 0.02928950687707734)","('impact', 0.022037280929200077)","('gendered', 0.03142013216254676)","('injustice', 0.03812729078690699)"
8,,,,"('group', 0.028782127267569554)","('africa', 0.020013770602578383)","('capacity', 0.03091643969114379)","('context', 0.03558145381737152)"
9,,,,"('may', 0.028015358901497728)","('risk', 0.01975683436966592)","('power', 0.03065985273139353)","('belief', 0.03190849952978497)"
