,Topic,Count,Name,-1,0,1
0,-1.0,28.0,-1_farmer_social_food_livelihood,"('farmer', 0.05029651880878416)","('community', 0.05601610858175996)","('farmer', 0.09440167846962148)"
1,0.0,29.0,0_community_institution_knowledge_impact,"('social', 0.04528330875266829)","('institution', 0.03861679373763254)","('risk', 0.07826512372139607)"
2,1.0,10.0,1_farmer_risk_strategy_mitigation,"('food', 0.03571327574180036)","('knowledge', 0.03272088395287026)","('strategy', 0.0775814302340042)"
3,,,,"('livelihood', 0.0327358541039353)","('impact', 0.03142483748460517)","('mitigation', 0.06537855606047076)"
4,,,,"('system', 0.031681039256277334)","('development', 0.030335980961710717)","('climatic', 0.06411139869440766)"
5,,,,"('network', 0.029979068029915797)","('scaling', 0.028687204341462182)","('impact', 0.05385957970943929)"
6,,,,"('local', 0.02832671107011616)","('capacity', 0.028044966487388103)","('insurance', 0.047913622689569044)"
7,,,,"('community', 0.028086104095946612)","('food', 0.02666949283214746)","('perception', 0.044812914930987754)"
8,,,,"('strategy', 0.025856245645724238)","('resource', 0.026312077494694282)","('practice', 0.04094348931965538)"
9,,,,"('information', 0.025812596961698867)","('approach', 0.025376750170444246)","('perceived', 0.04017841853023773)"
