,Topic,Count,Name,-1,0,1,2
0,-1.0,74.0,-1_farmer_impact_household_agricultural,"('farmer', 0.04730858805767221)","('household', 0.06503091585626909)","('woman', 0.11568644295391514)","('forest', 0.06106620115167456)"
1,0.0,23.0,0_household_food_farmer_strategy,"('impact', 0.03394166209811335)","('food', 0.061748951832822155)","('gender', 0.09475357969674328)","('land', 0.03859723242459726)"
2,1.0,14.0,1_woman_gender_vulnerability_household,"('household', 0.03385494503259947)","('farmer', 0.05165552446062441)","('vulnerability', 0.05050499692696628)","('ecosystem', 0.03439356555843211)"
3,2.0,14.0,2_forest_land_ecosystem_management,"('agricultural', 0.028011001654558054)","('strategy', 0.037203585280630024)","('household', 0.048658277279733396)","('management', 0.0338871635023576)"
4,,,,"('food', 0.02509288848990584)","('system', 0.030787390423251043)","('access', 0.03832573828701931)","('resource', 0.030133745852803054)"
5,,,,"('policy', 0.02509221876598391)","('farm', 0.027668180125340485)","('ci', 0.037608531752543)","('farmer', 0.030059606508097074)"
6,,,,"('strategy', 0.02406909616409072)","('factor', 0.025404532391811774)","('gap', 0.037195298392207435)","('community', 0.028278869387653324)"
7,,,,"('country', 0.022610648737154047)","('region', 0.024299795483783974)","('group', 0.03718469895909368)","('strategy', 0.027422917196390294)"
8,,,,"('livelihood', 0.021276111021744353)","('risk', 0.02409447946167473)","('livelihood', 0.036342265366014016)","('natural', 0.027280902286266336)"
9,,,,"('community', 0.02080530633870316)","('crop', 0.023176357906614056)","('female', 0.03402173899988928)","('knowledge', 0.025196312858966525)"
