,Topic,Count,Name,-1,0,1
0,-1.0,67.0,-1_urban_city_planning_approach,"('urban', 0.06994728708466513)","('urban', 0.07836462334665509)","('resilience', 0.17198199622226895)"
1,0.0,30.0,0_urban_city_planning_public,"('city', 0.06572615834060686)","('city', 0.05077367187002884)","('urban', 0.0828452100526641)"
2,1.0,11.0,1_resilience_urban_city_process,"('planning', 0.03820904351627413)","('planning', 0.04279831263183674)","('city', 0.06492814311959685)"
3,,,,"('approach', 0.031744075555334365)","('public', 0.03742375978817764)","('process', 0.06106758600331048)"
4,,,,"('policy', 0.028011885398047068)","('policy', 0.03416054837812429)","('planning', 0.04069323083588777)"
5,,,,"('risk', 0.028004768342022156)","('tool', 0.032770727348885774)","('co', 0.036160444961871326)"
6,,,,"('strategy', 0.027171274822945974)","('process', 0.030634418864707344)","('community', 0.03286676683409128)"
7,,,,"('local', 0.0240166674618971)","('game', 0.03044481240399966)","('pacific', 0.0315111136225232)"
8,,,,"('development', 0.02391960648588208)","('framework', 0.028995240992347137)","('capacity', 0.02773927943805315)"
9,,,,"('based', 0.023826474227285507)","('challenge', 0.028714303297757534)","('tool', 0.02750575518694593)"
