,Topic,Count,Name,-1,0,1
0,-1.0,51.0,-1_health_framework_social_policy,"('health', 0.03398880111263153)","('approach', 0.032140498800760996)","('resilience', 0.10877983667008154)"
1,0.0,42.0,0_approach_planning_process_knowledge,"('framework', 0.0320547852752944)","('planning', 0.02912022358004687)","('risk', 0.07183947681669581)"
2,1.0,19.0,1_resilience_risk_community_asset,"('social', 0.031850719191578156)","('process', 0.029004487232803595)","('community', 0.05874111180184403)"
3,,,,"('policy', 0.031200920583245053)","('knowledge', 0.028707618579779926)","('asset', 0.04092557858208873)"
4,,,,"('management', 0.030588805142971624)","('future', 0.026856548227170814)","('policy', 0.040693364220037456)"
5,,,,"('governance', 0.029736533205803724)","('development', 0.02533381881221789)","('approach', 0.037214909497534886)"
6,,,,"('risk', 0.029279284555311678)","('impact', 0.02488513997042973)","('vulnerability', 0.03469750658700909)"
7,,,,"('approach', 0.027241644796609153)","('data', 0.024876848119300358)","('support', 0.030676972986184128)"
8,,,,"('action', 0.025695109788098993)","('project', 0.023650903629913057)","('capacity', 0.030124420933876933)"
9,,,,"('energy', 0.025507673058093972)","('need', 0.02361379305046054)","('practice', 0.029020352871804187)"
