,Topic,Count,Name,-1,0,1,2
0,-1.0,19.0,-1_urban_city_system_policy,"('urban', 0.07741043662700593)","('city', 0.06190957782232618)","('resilience', 0.1285030018619331)","('urban', 0.07641860064825846)"
1,0.0,13.0,0_city_urban_public_planning,"('city', 0.04645556632774057)","('urban', 0.051185725320996016)","('urban', 0.07323640442353326)","('energy', 0.06120947033720931)"
2,1.0,10.0,1_resilience_urban_framework_knowledge,"('system', 0.035409836246960605)","('public', 0.050136274505237555)","('framework', 0.06051089536844549)","('city', 0.045860345526713996)"
3,2.0,10.0,2_urban_energy_city_emission,"('policy', 0.03164683136696138)","('planning', 0.04281476053985079)","('knowledge', 0.05700371029395915)","('emission', 0.040375330956398454)"
4,,,,"('development', 0.029832800297589904)","('implementation', 0.03860148065653964)","('product', 0.05076120429542277)","('nb', 0.03378918479945469)"
5,,,,"('energy', 0.02952567010497559)","('intermediary', 0.038038452523591906)","('process', 0.04482987216530201)","('building', 0.03328550707019935)"
6,,,,"('vulnerability', 0.028374553560472485)","('design', 0.030962506095790987)","('city', 0.04182947516730496)","('use', 0.03183352633828587)"
7,,,,"('analysis', 0.027871716237565694)","('space', 0.030356771263819658)","('concept', 0.04153189442352771)","('tier', 0.03129534364742986)"
8,,,,"('risk', 0.027097079275610954)","('plan', 0.029870911579594938)","('system', 0.03767331121368937)","('sustainable', 0.02883952211171318)"
9,,,,"('extreme', 0.026224737166350577)","('solution', 0.029870911579594938)","('understanding', 0.0357009509272567)","('scheme', 0.028741107919693195)"
