,Topic,Count,Name,-1,0,1,2
0,-1.0,79.0,-1_farmer_practice_agricultural_food,"('farmer', 0.0550056490233105)","('farmer', 0.07658411421296542)","('system', 0.05354708971205286)","('farmer', 0.07427415199493095)"
1,0.0,51.0,0_farmer_strategy_farm_agricultural,"('practice', 0.036340571156521485)","('strategy', 0.04477689290942534)","('farmer', 0.051973807910466005)","('perception', 0.06291579244167551)"
2,1.0,28.0,1_system_farmer_resilience_livestock,"('agricultural', 0.03602531555094328)","('farm', 0.039202506526868984)","('resilience', 0.04892747676656792)","('weather', 0.05949535740856849)"
3,2.0,23.0,2_farmer_perception_weather_risk,"('food', 0.03017906053751048)","('agricultural', 0.03798123353966219)","('livestock', 0.031472403392807304)","('risk', 0.058316060710053005)"
4,,,,"('system', 0.02571817168725379)","('household', 0.037468978921808824)","('capacity', 0.030306699170490663)","('information', 0.05746594459793009)"
5,,,,"('knowledge', 0.02551472559214615)","('adoption', 0.03484068975447092)","('policy', 0.02833147857556626)","('use', 0.04288798469827245)"
6,,,,"('strategy', 0.023493992236694548)","('impact', 0.03364337473821322)","('farm', 0.02788886462882665)","('forecast', 0.04231004975675117)"
7,,,,"('agriculture', 0.022786423465427034)","('model', 0.03284742591337016)","('support', 0.02421873563746858)","('variability', 0.03329597362185582)"
8,,,,"('social', 0.021737260682120136)","('practice', 0.029346150637816863)","('adapt', 0.023995888645182373)","('meteorological', 0.0316652892548292)"
9,,,,"('crop', 0.02101313344108464)","('factor', 0.025947375401748716)","('farming', 0.02364720253629816)","('associated', 0.02912279293825571)"
