,Topic,Count,Name,-1,0,1,2,3
0,-1.0,129.0,-1_farmer_agricultural_crop_farm,"('farmer', 0.05621425750042206)","('farmer', 0.05773691068608421)","('farmer', 0.10605691576301654)","('farmer', 0.06976593048419676)","('system', 0.06790523763755853)"
1,0.0,48.0,0_farmer_strategy_household_vulnerability,"('agricultural', 0.029284822409367244)","('strategy', 0.04926072700768747)","('perception', 0.06446144412581942)","('crop', 0.04761026901356774)","('farm', 0.058167644245333)"
2,1.0,19.0,1_farmer_perception_factor_behavior,"('crop', 0.02671555988634561)","('household', 0.04520351909056011)","('factor', 0.03908877757149474)","('cotton', 0.04571785835432422)","('livestock', 0.05320717644194432)"
3,2.0,16.0,2_farmer_crop_cotton_practice,"('farm', 0.0259332783165008)","('vulnerability', 0.03406640498517455)","('behavior', 0.03831289058618223)","('practice', 0.04352437579255176)","('impact', 0.047622931619879766)"
4,3.0,16.0,3_system_farm_livestock_impact,"('information', 0.02496322313448908)","('livelihood', 0.032996592646712994)","('result', 0.03267944742061366)","('food', 0.04087648651650371)","('model', 0.04747980888611882)"
5,,,,"('strategy', 0.02425788863951287)","('smallholder', 0.030870991553227093)","('data', 0.03128703445001189)","('efficiency', 0.03996960360208725)","('crop', 0.04400655979578685)"
6,,,,"('risk', 0.023015458678658347)","('access', 0.027542577971816515)","('measure', 0.030603696883913865)","('adoption', 0.0358635710276778)","('production', 0.03661889998607197)"
7,,,,"('impact', 0.02089937313165721)","('agricultural', 0.02753193037252835)","('effective', 0.030501159941666665)","('farm', 0.035702858846072556)","('management', 0.03380778330354703)"
8,,,,"('result', 0.02051979812264191)","('farm', 0.025338642221256463)","('weather', 0.03029525607713693)","('level', 0.03466783303191068)","('scenario', 0.03218662052506903)"
9,,,,"('policy', 0.020386316058215167)","('impact', 0.024671690740515964)","('belief', 0.027957939384964763)","('measure', 0.03068185003728068)","('change', 0.030891475421679155)"
