,Topic,Count,Name,-1,0,1
0,-1.0,85.0,-1_farmer_agricultural_crop_strategy,"('farmer', 0.07433305190980805)","('farmer', 0.060173393710416655)","('farmer', 0.09360965508935051)"
1,0.0,56.0,0_farmer_strategy_farm_household,"('agricultural', 0.03651326141420604)","('strategy', 0.04736352829875709)","('perception', 0.06060695241561258)"
2,1.0,24.0,1_farmer_perception_risk_data,"('crop', 0.032776330281172925)","('farm', 0.03501136751726131)","('risk', 0.05238269322345011)"
3,,,,"('strategy', 0.032129480977582184)","('household', 0.03361568085540477)","('data', 0.0311400004478882)"
4,,,,"('impact', 0.024689541642608795)","('crop', 0.029426331847431986)","('adaptive', 0.03113857655582726)"
5,,,,"('household', 0.024289589553201534)","('community', 0.02750052052656114)","('response', 0.030324007310388805)"
6,,,,"('farm', 0.024233646701861136)","('agricultural', 0.02729027851019334)","('vulnerability', 0.030047305841059135)"
7,,,,"('food', 0.023329891661021635)","('impact', 0.026135037410148037)","('impact', 0.030020952377770325)"
8,,,,"('model', 0.023267514724773484)","('access', 0.02492038210554209)","('system', 0.028709289724072926)"
9,,,,"('result', 0.02255222860565425)","('africa', 0.024668149831274366)","('farm', 0.027725403472492374)"
