,Topic,Count,Name,-1,0,1,2
0,-1.0,83.0,-1_flood_urban_risk_flooding,"('flood', 0.06301999464571126)","('water', 0.07847372794438022)","('flood', 0.11693908296043473)","('disaster', 0.0740054926627493)"
1,0.0,46.0,0_water_urban_flood_city,"('urban', 0.04108782898379914)","('urban', 0.04822844121587377)","('risk', 0.09557420396911008)","('community', 0.07187791721904493)"
2,1.0,22.0,1_flood_risk_damage_measure,"('risk', 0.0379178543033206)","('flood', 0.037633642060627456)","('damage', 0.04516992308900371)","('vulnerability', 0.06918350621188053)"
3,2.0,15.0,2_disaster_community_vulnerability_household,"('flooding', 0.027714333212607526)","('city', 0.03602880692382844)","('measure', 0.03503397934187504)","('household', 0.047938305850234564)"
4,,,,"('area', 0.02749284814222203)","('management', 0.03501160890094092)","('flooding', 0.032895065167256266)","('event', 0.043431062400741405)"
5,,,,"('city', 0.024222089103180734)","('system', 0.03131905149299071)","('insurance', 0.03185808234641027)","('local', 0.04138534575063989)"
6,,,,"('community', 0.02145617236418493)","('area', 0.029545807789196868)","('disaster', 0.02944097269084036)","('health', 0.03689818246958736)"
7,,,,"('result', 0.02031881296387243)","('flooding', 0.029057396783463592)","('loss', 0.029099029438693264)","('resilience', 0.03030926502681206)"
8,,,,"('river', 0.0196416798333412)","('event', 0.027606465376289)","('strategy', 0.028674433754130604)","('knowledge', 0.030276537249515612)"
9,,,,"('impact', 0.01927863733889371)","('extreme', 0.025698631640570305)","('analysis', 0.02804228531092487)","('extreme', 0.02798973616293948)"
