,Topic,Count,Name,-1,0,1,2,3
0,-1.0,41.0,-1_country_community_food_farmer,"('country', 0.03192787306332929)","('forest', 0.11652415139688918)","('shrimp', 0.048038859544370226)","('woman', 0.09262324591491557)","('farmer', 0.0824755244297816)"
1,0.0,23.0,0_forest_management_owner_risk,"('community', 0.03154545162307233)","('management', 0.0667108040176707)","('fisher', 0.03896100973915272)","('gender', 0.08174220784106129)","('farm', 0.04041982493097231)"
2,1.0,21.0,1_shrimp_fisher_farmer_water,"('food', 0.030907357447852685)","('owner', 0.060478670423064644)","('farmer', 0.03423969750251441)","('female', 0.061723707961617705)","('cassava', 0.03532819654400187)"
3,2.0,20.0,2_woman_gender_female_men,"('farmer', 0.02862103453972646)","('risk', 0.034424801344899086)","('water', 0.032845479169635046)","('men', 0.05997051884547313)","('strategy', 0.031635714221159676)"
4,3.0,16.0,3_farmer_farm_cassava_strategy,"('system', 0.026786376454805663)","('conservation', 0.031013825870446318)","('household', 0.03280906918209073)","('household', 0.05938642804591441)","('rural', 0.029269844023899566)"
5,,,,"('weather', 0.026783391556923025)","('community', 0.02639720293688224)","('risk', 0.03255247050096322)","('male', 0.05849821255696064)","('factor', 0.027300695741556313)"
6,,,,"('survey', 0.022458534632122447)","('practice', 0.025055176400988147)","('fisherman', 0.032212261008881436)","('farmer', 0.03990875766160334)","('used', 0.026832702774652443)"
7,,,,"('strategy', 0.019761067010013355)","('easement', 0.023585815054723173)","('vulnerability', 0.03136034772570698)","('seed', 0.03775094229946075)","('awareness', 0.026522282158957505)"
8,,,,"('network', 0.0196936702624434)","('environmental', 0.022421950428009672)","('dike', 0.02909796334060546)","('farm', 0.03473087922366318)","('practice', 0.024983227693025908)"
9,,,,"('local', 0.018879417295356964)","('adaptive', 0.021712248638150144)","('strategy', 0.028655040967652316)","('strategy', 0.03376782690717719)","('different', 0.023679641892645095)"
