,Topic,Count,Name,-1,0,1
0,-1.0,1.0,-1_child_intergenerational_convention_agreement,"('child', 0.3229070036333449)","('risk', 0.032886483051985646)","('health', 0.10946086948649267)"
1,0.0,144.0,0_risk_community_country_level,"('intergenerational', 0.2444931033946171)","('community', 0.03054096069538342)","('child', 0.03819600354262134)"
2,1.0,33.0,1_health_child_impact_dengue,"('convention', 0.23550720613067183)","('country', 0.025446588918907997)","('impact', 0.034532100012946425)"
3,,,,"('agreement', 0.22284475483567442)","('level', 0.02333542258020031)","('dengue', 0.02866756888500544)"
4,,,,"('disproportionately', 0.22284475483567442)","('impact', 0.02327982794530925)","('care', 0.025191490443501344)"
5,,,,"('global', 0.2222392496968052)","('disaster', 0.021446698790433916)","('community', 0.02437882194992209)"
6,,,,"('justice', 0.21386302118330916)","('coastal', 0.021418900976167096)","('effect', 0.023982238099577422)"
7,,,,"('evidence', 0.1809237877560929)","('local', 0.02098951192405748)","('data', 0.023939541133320037)"
8,,,,"('existing', 0.17832642475236515)","('based', 0.01927853611432039)","('social', 0.022956338226659604)"
9,,,,"('forgotten', 0.13940820037372278)","('flood', 0.019224692556906217)","('condition', 0.021945009230621603)"
