,Topic,Count,Name,-1,0,1
0,-1.0,22.0,-1_basin_trend_precipitation_policy,"('basin', 0.03446678119550895)","('water', 0.0742229579008801)","('rainfall', 0.06559087603627019)"
1,0.0,30.0,0_water_future_model_use,"('trend', 0.0338290085319867)","('future', 0.05075999310960698)","('precipitation', 0.06286385407987043)"
2,1.0,23.0,1_rainfall_precipitation_model_temperature,"('precipitation', 0.03042389145302043)","('model', 0.04804281697758168)","('model', 0.05960662969098708)"
3,,,,"('policy', 0.029781651933132147)","('use', 0.03505317965916133)","('temperature', 0.0573915751754526)"
4,,,,"('vegetation', 0.029381422235670716)","('reservoir', 0.033002689873636984)","('trend', 0.05177757918763632)"
5,,,,"('npp', 0.028864701459377813)","('land', 0.03283639517470933)","('extreme', 0.04710823885983037)"
6,,,,"('river', 0.028046562147384053)","('impact', 0.03259208274825261)","('scale', 0.030809487308051917)"
7,,,,"('significant', 0.027586554742205924)","('area', 0.03131405961801117)","('mean', 0.030156519508230395)"
8,,,,"('forest', 0.027231516664094374)","('period', 0.030490938376515807)","('annual', 0.027927633360941315)"
9,,,,"('station', 0.0270650964157873)","('scenario', 0.030318371465821323)","('result', 0.026305724247216923)"
