,Topic,Count,Name,-1,0,1
0,-1.0,38.0,-1_local_policy_health_planning,"('local', 0.05403977128924338)","('local', 0.06691814266313727)","('risk', 0.05348381762883873)"
1,0.0,16.0,0_local_urban_city_policy,"('policy', 0.04267882236958205)","('urban', 0.05429932395568807)","('learning', 0.052727710288620715)"
2,1.0,16.0,1_risk_learning_community_group,"('health', 0.03537436632519035)","('city', 0.054242826756560086)","('community', 0.04310950106181621)"
3,,,,"('planning', 0.034186723811819794)","('policy', 0.052796884006544254)","('group', 0.041198822634256)"
4,,,,"('community', 0.03265395564769764)","('level', 0.04904406698505034)","('social', 0.04002939969600523)"
5,,,,"('process', 0.03179017970093971)","('planning', 0.037097829120893724)","('knowledge', 0.03775009624424374)"
6,,,,"('development', 0.031015905316335506)","('case', 0.03477049424284984)","('approach', 0.037578121265711875)"
7,,,,"('knowledge', 0.029653443463418246)","('citizen', 0.03359124934370599)","('concept', 0.03637339571648693)"
8,,,,"('public', 0.02778479468642497)","('address', 0.03113252714514032)","('practice', 0.033399182622341934)"
9,,,,"('government', 0.027760255227234052)","('initiative', 0.030763988360092)","('local', 0.03305462101876946)"
